Time	T° eGFP:488,520	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:11	29.1	726	717	733	757	759	743	754	744	714	738	755	740	741	717	740	740	735	756	733	778	747	760	744	733	739	741	752	753	747	762	747	760	773	750	739	749	728	732	760	760	773	784	769	741	751	767	735	752	738	747	818	825	834	805	812	823	833	840	812	802																																				
0:15:10	29	715	719	727	714	725	727	706	726	715	727	738	713	727	728	746	723	770	723	732	737	738	737	742	727	712	719	737	718	737	750	756	759	767	747	707	749	716	735	722	733	763	756	758	745	774	755	750	747	726	738	801	844	793	800	816	817	810	802	817	805																																				
0:30:10	29	736	709	722	743	738	730	721	717	735	723	701	712	711	725	711	734	741	745	740	716	717	718	734	731	720	742	728	707	748	736	752	738	714	759	699	723	741	734	741	743	762	766	745	753	740	748	721	720	718	731	801	805	811	829	808	804	803	802	778	807																																				
0:45:11	29.1	688	713	711	726	753	723	717	754	732	717	726	729	728	723	739	764	757	750	760	717	737	752	731	692	706	715	757	742	752	751	740	740	731	709	735	736	748	730	746	742	756	767	742	767	760	744	721	737	714	748	795	828	828	818	811	800	813	826	806	779																																				
1:00:12	29	729	736	725	722	718	736	715	733	730	717	681	723	722	738	732	730	782	769	739	719	733	722	713	725	716	735	745	754	740	777	769	743	761	743	713	743	715	725	750	731	763	764	739	738	734	725	760	731	712	719	802	815	818	821	831	794	803	814	816	798																																				
1:15:13	29	711	742	752	757	757	744	735	724	715	744	718	719	741	723	755	765	750	767	780	737	744	767	753	718	728	740	747	757	727	757	746	735	745	736	747	738	746	765	744	767	753	759	733	747	774	742	747	723	746	744	792	824	787	801	810	810	819	811	801	778																																				
1:30:15	29	728	724	753	756	765	756	739	774	748	719	713	740	743	717	749	767	784	786	764	703	734	744	731	707	730	754	736	750	745	753	772	739	745	735	729	708	761	761	771	751	776	802	773	747	755	751	764	742	740	746	806	830	805	799	795	792	800	783	793	811																																				
1:45:16	29	775	738	756	758	767	759	734	762	734	721	710	719	765	744	782	777	783	771	755	763	754	756	743	721	740	749	758	773	741	764	778	739	768	733	711	721	797	785	790	764	773	814	762	755	737	736	749	744	742	731	791	820	835	840	811	834	796	811	798	798																																				
2:00:17	29	748	778	774	797	768	771	761	770	738	720	710	724	766	773	809	789	797	784	770	762	749	746	727	740	756	764	773	779	764	764	810	764	758	762	738	729	785	779	797	791	804	802	779	754	776	738	759	725	752	731	796	823	808	789	826	820	787	793	785	813																																				
2:15:18	29.1	761	768	773	774	763	797	782	769	743	745	726	725	791	760	813	801	792	816	815	771	761	746	746	711	762	770	771	771	788	776	783	768	739	733	730	737	795	787	792	793	797	826	801	781	761	749	738	738	740	717	815	816	833	804	804	804	833	812	807	792																																				
2:30:19	29.1	772	792	812	819	807	795	750	756	747	754	716	707	806	824	839	823	813	810	813	772	784	737	722	715	776	757	772	782	786	773	810	755	773	742	740	746	809	808	810	808	831	850	814	770	790	766	743	720	746	719	792	834	809	795	791	797	803	806	782	811																																				
2:45:21	29	786	810	828	804	823	789	799	776	769	737	737	702	817	804	832	849	848	837	808	802	811	776	742	731	779	787	785	789	769	787	770	777	749	740	729	733	840	808	851	822	830	866	829	800	773	751	749	738	739	716	798	833	807	798	813	818	821	800	811	790																																				
3:00:21	29	814	807	828	810	825	820	808	780	775	740	736	720	846	840	860	853	861	854	839	830	791	771	744	726	784	786	783	796	799	798	800	777	743	723	746	713	842	857	859	841	869	882	834	799	776	772	739	710	742	727	804	809	808	827	829	828	815	813	796	797																																				
3:15:22	29.1	831	823	793	836	869	854	794	822	776	744	713	711	877	852	878	902	888	829	861	815	819	782	762	723	797	796	825	798	785	787	781	772	759	760	729	723	862	874	891	864	876	885	866	833	780	761	708	717	738	746	804	833	818	808	803	830	788	809	833	814																																				
3:30:23	29.1	862	854	851	876	856	841	853	808	806	750	723	712	925	876	892	898	899	886	886	847	812	800	728	723	782	814	819	827	809	825	813	790	759	755	735	729	887	894	920	860	879	913	862	834	777	783	749	744	748	755	818	813	797	797	803	825	814	801	777	791																																				
3:45:25	29.1	875	850	866	875	880	873	845	811	791	765	727	700	924	923	928	941	953	929	917	901	837	808	729	699	810	821	842	817	817	833	800	776	750	738	730	713	942	916	947	941	919	949	875	865	798	759	749	716	710	749	800	772	819	790	813	806	806	809	792	806																																				
4:00:26	29.1	867	888	898	887	908	882	882	862	822	763	741	742	945	952	953	973	990	967	933	906	841	790	759	742	847	878	870	835	839	836	819	804	745	729	705	739	961	946	989	925	942	973	881	879	810	788	747	734	721	733	782	802	827	826	807	797	805	822	809	815																																				
4:15:26	29.1	887	917	929	925	913	883	861	877	820	784	761	718	990	972	998	1020	996	949	935	900	899	818	752	755	855	841	882	859	871	857	849	807	761	747	735	719	1001	1004	1037	981	991	1009	920	861	827	738	742	737	730	732	812	815	817	835	811	808	820	825	806	779																																				
