Time	T° eGFP:488,520	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:11	29.1	1132	961	1007	882	2056	904	983	969	878	916	857	791	1164	970	1007	959	1137	1012	1075	1016	975	927	1427	1515	1034	950	1098	968	1403	1145	1208	1090	903	1014	1007	957	1298	1356	947	1040	1130	961	964	1255	978	1053	863	835	1170	919	934	898	1097	892	970	926	961	1177	955	921	958	997	971	883	1249	997	1083	994	1160	1034	849	827	945	882	884	991	1308	798	999	930	1000	922	958	944	1130	813	924	874	1001	1064	888	1184	751	775	893	872
0:15:49	29.1	1214	1085	1035	903	2243	954	968	1015	1060	976	845	835	1241	981	1100	970	1309	1025	1182	1089	1064	987	1504	1509	1106	959	1126	1048	1492	1120	1416	1262	915	1090	1009	985	1301	1064	979	1120	1214	982	1018	1304	982	1098	887	878	1210	1075	1005	890	1191	902	1064	979	1011	1156	945	952	1012	1068	1023	956	1460	1049	1256	1064	1201	1090	868	859	1043	951	884	1016	1424	846	1063	982	1066	908	974	983	1334	889	976	908	1139	1163	905	1108	768	769	913	933
0:31:28	29.1	1269	1131	1067	906	2349	955	1041	1099	1044	972	856	872	1243	1049	1106	1058	1390	1107	1290	1165	1096	1025	1544	1519	1208	998	1192	1075	1568	1155	1486	1337	975	1164	1045	1023	1376	1127	1034	1213	1275	1013	1038	1294	1037	1194	916	927	1245	1121	1032	1005	1294	929	1098	982	1072	1228	955	986	1063	1164	1066	1029	1525	1087	1311	1086	1295	1213	845	861	1122	941	952	1125	1509	862	1099	968	1092	962	1064	1000	1385	844	985	901	1226	1222	950	1103	780	752	954	934
0:47:07	29.1	1330	1133	1085	957	2370	970	1079	1123	1108	1020	889	873	1345	1030	1139	1052	1429	1120	1264	1128	1121	1017	1578	1480	1192	977	1138	1075	1593	1173	1493	1382	986	1198	1045	1046	1391	1113	1061	1213	1322	1045	1041	1346	1013	1173	920	920	1208	1144	1048	985	1293	942	1134	1057	1086	1218	989	973	1047	1175	1098	1062	1603	1127	1322	1137	1321	1262	870	882	1135	978	963	1125	1562	871	1119	1070	1139	938	1039	1045	1359	860	1042	916	1258	1246	980	1101	777	773	970	978
1:02:46	29.1	1357	1139	1090	979	2439	1008	1066	1163	1134	1045	890	865	1332	1069	1151	1078	1481	1142	1327	1202	1124	1033	1621	1512	1248	988	1176	1144	1620	1204	1519	1377	1007	1210	1037	1015	1393	1123	1065	1250	1322	1034	1076	1387	1043	1224	899	909	1215	1131	1081	969	1346	945	1140	1041	1092	1228	989	1007	1065	1151	1096	1073	1654	1111	1339	1158	1326	1284	888	884	1120	995	946	1158	1587	872	1192	1052	1157	975	1064	1021	1395	897	1028	933	1240	1276	975	1127	747	723	935	975
1:18:24	29.1	1345	1139	1138	953	2468	1011	1102	1147	1145	1032	880	889	1306	1094	1170	1127	1490	1101	1328	1200	1143	1051	1545	1547	1257	1039	1201	1167	1647	1173	1543	1433	1006	1201	1088	1044	1397	1107	1079	1271	1343	1048	1059	1341	1057	1245	925	930	1204	1175	1121	973	1312	948	1214	1054	1103	1214	1028	1011	1113	1216	1133	1068	1622	1162	1372	1151	1342	1312	884	897	1140	998	986	1151	1567	826	1145	1074	1167	983	1030	1008	1458	898	1038	932	1284	1340	987	1164	806	750	979	1009
1:34:03	29.1	1424	1179	1108	936	2508	1033	1110	1165	1157	1005	912	920	1344	1140	1200	1084	1494	1139	1352	1207	1179	1050	1622	1477	1233	1042	1236	1185	1629	1207	1590	1475	994	1253	1083	1042	1408	1147	1134	1288	1380	1055	1110	1415	1087	1270	945	919	1260	1195	1097	956	1434	968	1191	1069	1096	1249	1028	1006	1146	1213	1195	1036	1677	1171	1466	1152	1364	1333	887	893	1196	1024	969	1184	1610	852	1171	1074	1214	991	1055	1040	1480	891	1030	956	1309	1337	1020	1133	761	762	998	992
1:49:43	29.1	1385	1223	1147	965	2551	1058	1087	1182	1163	1044	900	869	1380	1122	1178	1148	1513	1168	1363	1240	1145	1100	1613	1514	1267	1047	1269	1166	1644	1174	1680	1507	1024	1273	1010	1051	1464	1158	1100	1320	1340	1113	1070	1428	1086	1253	905	908	1265	1187	1129	994	1405	939	1217	1050	1133	1286	1005	1003	1095	1252	1187	1079	1642	1140	1423	1206	1339	1381	891	893	1216	1077	1009	1176	1640	870	1178	1082	1175	948	1067	1005	1456	920	1055	942	1274	1352	1010	1137	747	753	1002	996
2:05:21	29.1	1453	1205	1149	953	2553	1048	1147	1192	1183	1060	899	916	1373	1172	1248	1170	1529	1179	1415	1264	1147	1084	1590	1523	1285	1019	1319	1212	1648	1198	1658	1466	1047	1267	1047	1028	1483	1159	1148	1353	1362	1073	1119	1467	1076	1279	934	903	1271	1197	1120	984	1384	933	1226	1094	1122	1289	997	1026	1092	1226	1239	1128	1678	1199	1470	1183	1337	1406	913	921	1192	1045	1021	1174	1622	872	1192	1080	1221	1020	1112	1043	1472	902	1051	939	1319	1330	1033	1172	761	778	975	995
2:21:00	29.1	1458	1229	1195	935	2579	1073	1177	1254	1229	1064	901	888	1378	1163	1241	1158	1505	1176	1386	1275	1178	1124	1596	1514	1228	1044	1288	1202	1666	1210	1714	1513	1028	1317	1071	1022	1496	1149	1117	1418	1402	1077	1096	1504	1082	1270	921	955	1340	1191	1137	1003	1400	951	1252	1066	1166	1381	1005	1043	1128	1257	1220	1158	1685	1200	1525	1178	1392	1393	930	898	1201	1066	1007	1213	1686	869	1185	1132	1219	1013	1097	1057	1479	960	1086	918	1306	1386	1028	1172	771	796	983	987
