Time	T° eGFP:488,520	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:11	26.7	757	763	774	776	806	799	813	797	778	792	774	774	807	784	801	807	791	791	893	816	799	802	788	769	981	801	809	812	809	833	817	813	787	785	789	787	814	790	789	814	803	795	803	806	816	782	789	806	789	807	822	810	827	838	795	805	818	816	802	815	835	815	831	843	807	821	829	807	836	828	834	822	761	834	2675	2551	2594	4137	3383	3857	3741	3097	3096	3067	3848	3862	5713	3101	3257	2981	7191	9792	6612	3022	3055	2942
0:16:15	29	772	776	773	770	832	817	814	825	762	777	767	734	751	758	777	791	777	795	894	790	783	791	759	760	938	805	794	787	820	837	782	795	796	778	776	758	814	763	798	784	823	795	800	825	805	765	771	802	793	793	787	805	823	811	789	804	853	820	799	771	809	825	802	845	811	825	811	795	812	806	792	831	773	810	2800	2692	2790	3249	3430	3612	3477	2963	3007	2966	3604	3751	5709	2879	3063	2872	6996	7159	5724	2874	2932	2884
0:32:18	29	785	749	741	765	883	813	831	791	786	768	751	744	780	779	755	770	788	787	869	753	779	780	738	750	978	783	788	773	875	827	787	769	795	766	761	755	834	789	784	789	816	783	785	790	869	788	789	756	830	804	800	798	819	811	791	810	904	820	769	789	869	835	834	835	845	846	821	789	858	835	816	826	749	839	2904	2771	2865	3288	3338	3649	3430	2987	2995	2900	3529	3676	5637	2935	3024	2869	6952	7134	5791	2861	2891	2841
0:48:21	29	824	772	750	772	979	898	872	826	832	791	747	723	796	771	757	757	825	799	821	770	797	763	753	756	1006	782	794	774	967	907	803	769	829	759	765	741	859	791	792	782	865	815	796	787	897	829	793	767	856	819	799	818	886	871	807	784	943	895	817	805	968	895	848	838	883	852	826	802	942	894	816	843	741	805	2964	2757	2883	3356	3327	3747	3557	2997	3029	2930	3518	3647	5707	2896	3083	2880	7136	7146	5907	2842	2890	2897
1:04:25	29	872	804	764	765	1076	1036	873	823	855	830	772	726	822	783	786	770	864	822	868	782	812	791	738	720	1016	806	804	785	1082	991	805	767	838	807	756	749	920	849	808	802	895	840	807	803	1022	854	798	798	924	872	803	785	922	874	799	817	1099	942	800	783	1045	972	926	847	971	916	841	807	1045	961	862	840	755	798	3023	2779	2921	3417	3345	3788	3563	2914	2957	2896	3526	3608	5612	2898	2961	2902	7193	7173	5941	2837	2905	2819
1:20:28	29	949	843	743	752	1253	1142	949	822	920	876	767	726	869	800	780	756	906	861	824	760	815	794	762	739	1018	826	800	780	1220	1050	813	764	943	830	785	732	983	904	805	775	949	913	829	780	1077	947	807	770	958	879	827	786	970	921	835	792	1212	1036	858	756	1200	1037	934	847	1011	991	888	808	1101	1030	884	828	740	795	2891	2824	2875	3453	3335	3854	3734	2842	2991	2902	3532	3564	5749	2905	3030	2932	7395	7401	6017	2912	2928	2874
1:36:32	29	998	873	785	756	1375	1310	1020	849	984	933	772	711	916	817	781	752	959	906	917	775	803	780	747	756	1096	882	830	803	1371	1181	808	757	958	865	771	733	1063	943	809	786	1051	968	858	802	1195	967	810	780	1041	936	823	786	1059	1003	846	851	1370	1178	897	807	1316	1126	1001	844	1129	1068	915	798	1282	1137	971	814	729	815	2886	2849	2896	3516	3352	3925	3846	2879	2998	2865	3478	3679	5843	2941	3045	2999	7435	7405	6092	2957	2936	2832
1:52:35	29	1066	898	810	770	1521	1466	1134	838	1095	971	781	732	973	863	811	795	990	947	814	764	837	813	770	734	1167	917	841	776	1509	1336	824	794	1040	944	797	746	1144	1046	859	772	1165	1033	893	787	1371	1054	856	764	1116	1001	837	792	1142	1111	880	827	1556	1304	952	794	1441	1246	1053	862	1200	1144	1000	754	1380	1256	1034	827	715	811	2886	2830	2883	3545	3273	3953	3897	2976	2945	2845	3501	3576	5995	2985	3085	3025	7595	7525	6064	3001	2978	2894
2:08:39	29	1170	933	835	764	1719	1632	1213	830	1148	1065	833	705	1025	904	829	761	1092	984	833	760	853	830	772	740	1179	949	850	784	1719	1406	840	779	1098	995	812	748	1252	1105	880	786	1219	1113	913	784	1523	1177	877	781	1207	1053	870	809	1245	1198	908	811	1715	1434	1004	814	1629	1352	1127	862	1318	1243	1033	811	1522	1368	1080	839	733	797	3007	2823	2849	3635	3294	4017	3926	3002	2990	2936	3463	3563	6170	3020	3156	3021	7739	7640	6194	3018	3011	2857
2:24:42	29.1	1294	1039	854	758	1837	1836	1337	865	1213	1152	853	727	1073	946	834	772	1132	1047	860	760	886	823	779	735	1225	1002	871	788	1909	1601	849	769	1151	1037	841	733	1375	1194	910	794	1313	1207	954	806	1659	1290	924	762	1253	1125	911	766	1371	1261	948	786	1869	1627	1040	790	1762	1466	1208	848	1394	1349	1127	820	1610	1523	1208	843	748	810	3093	2847	2931	3709	3254	4145	4068	2977	2980	2932	3498	3501	6327	3007	3105	2961	7838	7831	6432	2983	3024	2894
