ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
ARO8_a_0_1_1	ARO8_a_1_1_1	ARO8_a_0_1_1 ARO8_a_1_1_1	12	674900	10.66	630500	699500	-0.134256642024024
ARO8_a_0_1_1	ARO8_a_1_1_1	ARO8_a_0_1_1 ARO8_a_1_1_1	15	600300	4.05	412400	655200	0.086145410530035
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	4	720600	3.19	614300	790600	0.048408551124548
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	8	167700	3.01	84200	289000	0.0589603997866178
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	10	174900	3.49	92000	364900	0.0512088771798928
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	10	563200	5.68	510800	636800	0.0893773209762085
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	12	696000	4.95	608800	753400	-0.0901183683168615
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	13	380200	2.86	254500	562400	0.0618306101937186
ARO8_a_0_1_2	ARO8_a_1_1_2	ARO8_a_0_1_2 ARO8_a_1_1_2	15	544700	3.7	440000	581600	0.0549049024406786
ARO8_a_0_1_3	ARO8_a_1_1_3	ARO8_a_0_1_3 ARO8_a_1_1_3	12	660700	5.5	627700	734600	-0.0896882813335208
ARO8_a_0_1_3	ARO8_a_1_1_3	ARO8_a_0_1_3 ARO8_a_1_1_3	15	560600	17.33	538600	577000	0.159242080888435
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	2	126300	3.23	73200	197400	-0.0821900517015902
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	8	407000	2.86	253500	554900	0.0667493970113368
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	11	272000	3.38	14200	477100	0.0601221337970902
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	12	670000	3.93	620900	738900	-0.0755059224780825
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	13	194300	2.95	115300	285800	-0.0873389317932186
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	14	175700	11.29	134700	231600	0.157611093696179
ARO8_a_0_1_4	ARO8_a_1_1_4	ARO8_a_0_1_4 ARO8_a_1_1_4	15	572700	3.4	534300	630300	0.104794530454866
ARO8_a_0_1_5	ARO8_a_1_1_5	ARO8_a_0_1_5 ARO8_a_1_1_5	12	668800	14.81	645900	697800	-0.170609163955321
ARO8_a_0_1_5	ARO8_a_1_1_5	ARO8_a_0_1_5 ARO8_a_1_1_5	15	583600	9.85	538700	614400	0.114146855984597
BMH2_a_0_1_1	BMH2_a_1_1_1	BMH2_a_0_1_1 BMH2_a_1_1_1	10	663700	5	586500	718100	-0.0934618657454837
BMH2_a_0_1_1	BMH2_a_1_1_1	BMH2_a_0_1_1 BMH2_a_1_1_1	11	448700	6.44	319000	475000	0.0769573868990313
BMH2_a_0_1_1	BMH2_a_1_1_1	BMH2_a_0_1_1 BMH2_a_1_1_1	12	690800	16.2	635100	760900	-0.142522617143237
