orf	gene	crispr	rep	tech	gate	seqnum	cover
YGL202W	ARO8	a	1	1	1	C37	12
YGL202W	ARO8	a	1	1	2	C38	12
YGL202W	ARO8	a	1	1	3	C39	12
YGL202W	ARO8	a	1	1	4	C40	13
YGL202W	ARO8	a	1	1	5	C41	12
YDR099W	BMH2	a	1	1	1	C01	19
YDR099W	BMH2	a	1	1	20	C06	20
YDR099W	BMH2	a	1	1	21	C07	19
YDR099W	BMH2	a	1	1	2	C02	19
YDR099W	BMH2	a	1	1	3	C03	20
YDR099W	BMH2	a	1	1	4	C04	22
YDR099W	BMH2	a	1	1	5	C05	19
YLR286C	CTS1	a	1	1	1	C57	12
YLR286C	CTS1	a	1	1	2	C58	15
YLR286C	CTS1	a	1	1	3	C59	17
YLR286C	CTS1	a	1	1	4	C60	17
YLR286C	CTS1	a	1	1	5	C61	19
YLR286C	CTS1	a	2	1	1	C23	20
YLR286C	CTS1	a	2	1	20	C28	18
YLR286C	CTS1	a	2	1	21	C29	10
YLR286C	CTS1	a	2	1	2	C24	18
YLR286C	CTS1	a	2	1	3	C25	16
YLR286C	CTS1	a	2	1	4	C26	19
YLR286C	CTS1	a	2	1	5	C27	16
YJR048W	CYC1	a	1	1	1	C47	13
YJR048W	CYC1	a	1	1	2	C48	12
YJR048W	CYC1	a	1	1	3	C49	14
YJR048W	CYC1	a	1	1	4	C50	12
YJR048W	CYC1	a	1	1	5	C51	16
YJR048W	CYC1	a	2	1	1	C13	19
YJR048W	CYC1	a	2	1	2	C14	18
YJR048W	CYC1	a	2	1	3	C15	15
YJR048W	CYC1	a	2	1	4	C16	18
YJR048W	CYC1	a	2	1	5	C17	10
YDL022W	GPD1	a	1	1	1	C01	13
YDL022W	GPD1	a	1	1	2	C02	12
YDL022W	GPD1	a	1	1	3	C03	13
YDL022W	GPD1	a	1	1	4	C04	12
YDL022W	GPD1	a	1	1	5	C05	11
YDL022W	GPD1	a	1	2	1	C06	11
YDL022W	GPD1	a	1	2	2	C07	13
YDL022W	GPD1	a	1	2	3	C08	14
YDL022W	GPD1	a	1	2	4	C09	14
YDL022W	GPD1	a	1	2	5	C10	13
YDL022W	GPD1	a	2	1	1	C11	12
YDL022W	GPD1	a	2	1	2	C12	12
YDL022W	GPD1	a	2	1	3	C13	13
YDL022W	GPD1	a	2	1	4	C14	14
YDL022W	GPD1	a	2	1	5	C15	13
YDL022W	GPD1	a	3	1	1	C16	15
YDL022W	GPD1	a	3	1	2	C18	11
YDL022W	GPD1	a	3	1	3	C19	11
YDL022W	GPD1	a	3	1	4	C20	12
YDL022W	GPD1	a	3	1	5	C21	13
YDL022W	GPD1	a	3	2	1	C17	13
YDL022W	GPD1	a	4	1	1	C22	13
YDL022W	GPD1	a	4	1	2	C23	12
YDL022W	GPD1	a	4	1	3	C24	14
YDL022W	GPD1	a	4	1	4	C25	12
YDL022W	GPD1	a	4	1	5	C26	12
YKR080W	MTD1	a	1	1	1	C27	13
YKR080W	MTD1	a	1	1	2	C28	13
YKR080W	MTD1	a	1	1	3	C29	9
YKR080W	MTD1	a	1	1	4	C30	15
YKR080W	MTD1	a	1	1	5	C31	13
YGL055W	OLE1	a	1	1	1	C42	12
YGL055W	OLE1	a	1	1	2	C43	14
YGL055W	OLE1	a	1	1	3	C44	13
YGL055W	OLE1	a	1	1	4	C45	12
YGL055W	OLE1	a	1	1	5	C46	13
YGL055W	OLE1	a	2	1	1	C08	19
YGL055W	OLE1	a	2	1	2	C09	10
YGL055W	OLE1	a	2	1	3	C10	17
YGL055W	OLE1	a	2	1	4	C11	18
YGL055W	OLE1	a	2	1	5	C12	17
YOR293W	RPS10A	a	1	1	1	C62	17
YOR293W	RPS10A	a	1	1	2	C63	16
YOR293W	RPS10A	a	1	1	3	C64	18
YOR293W	RPS10A	a	1	1	4	C65	4
YOR293W	RPS10A	a	1	1	5	C66	16
YOR293W	RPS10A	a	2	1	1	C30	20
YOR293W	RPS10A	a	2	1	2	C31	19
YOR293W	RPS10A	a	2	1	3	C32	18
YOR293W	RPS10A	a	2	1	4	C33	13
YOR293W	RPS10A	a	2	1	5	C34	16
YLL028W	TPO1	a	1	1	1	C52	17
YLL028W	TPO1	a	1	1	2	C53	18
YLL028W	TPO1	a	1	1	3	C54	19
YLL028W	TPO1	a	1	1	4	C55	16
YLL028W	TPO1	a	1	1	5	C56	17
YLL028W	TPO1	a	2	1	1	C18	18
YLL028W	TPO1	a	2	1	2	C19	19
YLL028W	TPO1	a	2	1	3	C20	19
YLL028W	TPO1	a	2	1	4	C21	19
YLL028W	TPO1	a	2	1	5	C22	20
YKL035W	UGP1	a	1	1	1	C32	14
YKL035W	UGP1	a	1	1	2	C33	13
YKL035W	UGP1	a	1	1	3	C34	13
YKL035W	UGP1	a	1	1	4	C35	13
YKL035W	UGP1	a	1	1	5	C36	11
