orf	gene	crispr	rep	tech	gate	seqnum	cover
1	YKR080W	MTD1	a	0	1	10	C32	12
2	YKR080W	MTD1	a	0	1	11	C33	11
3	YKR080W	MTD1	a	0	1	1	C23	8
4	YKR080W	MTD1	a	0	1	2	C24	12
5	YKR080W	MTD1	a	0	1	3	C25	15
6	YKR080W	MTD1	a	0	1	4	C26	12
7	YKR080W	MTD1	a	0	1	5	C27	17
8	YKR080W	MTD1	a	0	1	6	C28	10
9	YKR080W	MTD1	a	0	1	7	C29	11
10	YKR080W	MTD1	a	0	1	8	C30	10
11	YKR080W	MTD1	a	0	1	9	C31	13
12	YKR080W	MTD1	i	0	1	10	C43	17
13	YKR080W	MTD1	i	0	1	11	C44	13
14	YKR080W	MTD1	i	0	1	1	C34	8
15	YKR080W	MTD1	i	0	1	2	C35	10
16	YKR080W	MTD1	i	0	1	3	C36	9
17	YKR080W	MTD1	i	0	1	4	C37	14
18	YKR080W	MTD1	i	0	1	5	C38	11
19	YKR080W	MTD1	i	0	1	6	C39	12
20	YKR080W	MTD1	i	0	1	7	C40	11
21	YKR080W	MTD1	i	0	1	8	C41	14
22	YKR080W	MTD1	i	0	1	9	C42	8
23	YGR192C	TDH3	a	0	1	10	C10	19
24	YGR192C	TDH3	a	0	1	11	C11	7
25	YGR192C	TDH3	a	0	1	1	C01	7
26	YGR192C	TDH3	a	0	1	2	C02	9
27	YGR192C	TDH3	a	0	1	3	C03	17
28	YGR192C	TDH3	a	0	1	4	C04	9
29	YGR192C	TDH3	a	0	1	5	C05	12
30	YGR192C	TDH3	a	0	1	6	C06	10
31	YGR192C	TDH3	a	0	1	7	C07	4
32	YGR192C	TDH3	a	0	1	8	C08	13
33	YGR192C	TDH3	a	0	1	9	C09	9
34	YGR192C	TDH3	i	0	1	10	C21	9
35	YGR192C	TDH3	i	0	1	11	C22	9
36	YGR192C	TDH3	i	0	1	1	C12	8
37	YGR192C	TDH3	i	0	1	2	C13	8
38	YGR192C	TDH3	i	0	1	3	C14	15
39	YGR192C	TDH3	i	0	1	4	C15	12
40	YGR192C	TDH3	i	0	1	5	C16	13
41	YGR192C	TDH3	i	0	1	6	C17	17
42	YGR192C	TDH3	i	0	1	7	C18	10
43	YGR192C	TDH3	i	0	1	8	C19	14
44	YGR192C	TDH3	i	0	1	9	C20	8
45	YKL035W	UGP1	a	0	1	10	C54	11
46	YKL035W	UGP1	a	0	1	11	C55	4
47	YKL035W	UGP1	a	0	1	1	C45	10
48	YKL035W	UGP1	a	0	1	2	C46	8
49	YKL035W	UGP1	a	0	1	3	C47	9
50	YKL035W	UGP1	a	0	1	4	C48	9
51	YKL035W	UGP1	a	0	1	5	C49	10
52	YKL035W	UGP1	a	0	1	6	C50	11
53	YKL035W	UGP1	a	0	1	7	C51	8
54	YKL035W	UGP1	a	0	1	8	C52	8
55	YKL035W	UGP1	a	0	1	9	C53	9
56	YKL035W	UGP1	aF	0	1	1	C67	24
57	YKL035W	UGP1	aF	0	1	2	C68	21
58	YKL035W	UGP1	aF	0	1	3	C69	5
59	YKL035W	UGP1	aF	0	1	4	C70	11
60	YKL035W	UGP1	aF	0	1	5	C71	22
61	YKL035W	UGP1	i	0	1	10	C65	8
62	YKL035W	UGP1	i	0	1	11	C66	6
63	YKL035W	UGP1	i	0	1	1	C56	11
64	YKL035W	UGP1	i	0	1	2	C57	11
65	YKL035W	UGP1	i	0	1	3	C58	8
66	YKL035W	UGP1	i	0	1	4	C59	4
67	YKL035W	UGP1	i	0	1	5	C60	13
68	YKL035W	UGP1	i	0	1	6	C61	16
69	YKL035W	UGP1	i	0	1	7	C62	7
70	YKL035W	UGP1	i	0	1	8	C63	9
71	YKL035W	UGP1	i	0	1	9	C64	9
