orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	1	138700	8.08	116500	207800	-0.134222918760294	-0.019442187793848	0.4	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	2	189600	3.6	76000	241100	-0.0682774278201593	0.011078291297802	0.4	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	4	191100	5.05	155000	240400	-0.0990548856667295	-0.0838671904942481	3.39	together
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	5	391600	3.34	222700	497200	-0.072184599408999	-0.0193922616789296	0.62	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	7	401100	3.08	321900	476800	0.0871831734916289	0.0105666847843605	0.66	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	8	447300	3.07	202900	554900	-0.0567234783439507	-0.00186651484330569	0.74	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	10	167700	27.25	135800	203100	-0.232967801381682	0.0394801861972726	1.04	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	10	628100	4.39	596300	700700	0.0984577187761472	0.0107434305281275	0.4	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	11	323000	46.26	286600	347100	-0.28294754838107	0.0101112972495248	0.4	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	13	363800	6.23	174200	406400	0.096177869367618	0.0215847964055325	1.52	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	14	237300	6.9	164000	271800	-0.0884593356049164	0.0136826836961578	0.65	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	15	163000	7.01	132400	193100	-0.106443448594454	-0.0268532135919631	1.27	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	15	564700	13.4	547500	587100	-0.152460561262242	0.0238707693379916	0.61	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	2	21300	3.56	0	44000	-4.28472807381119e-05	0.00126319083319582	0.81	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	4	187200	3.42	53900	237400	-0.0835418516017511	-0.0974483611030786	4.93	together
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	10	459400	3.31	405700	524200	0.0642968648431623	0.0101551472243064	0.41	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	12	684400	7.81	650300	756100	-0.116938454807001	0.0561671964921154	2.63	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	13	55800	3.76	0	104000	-0.0552211148136682	0.0660840919723147	2.07	specific
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	13	289900	3.29	247500	377400	0.0570541844131967	0.0904010066725405	5.11	together
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	14	466400	52.33	450000	480400	0.306310630059293	0.0468325966826764	1.21	specific
