orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	1	165600	4.06	97500	207800	-0.108255809781185	-0.00075250936762683	0.48	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	2	579100	3.21	499000	700600	0.0675882021365524	-0.00253249504769337	0.44	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	4	195600	10.36	171300	233400	-0.144198324154758	-0.0170393408713982	0.74	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	4	1174200	4.66	1014800	1266400	0.0956398433170739	-0.00118933560281514	0.52	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	5	521000	4.98	487000	566500	-0.0931201886848978	0.0273327829433515	1	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	7	133300	11.75	104300	170500	0.13532785328551	0.0254489125530568	1.74	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	7	933300	4.59	891000	1003200	-0.0754406311972657	0.00772604682443345	0.45	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	8	315200	5.51	267200	380300	-0.0928925966251395	-0.00132310602495045	0.41	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	10	161200	10.25	129700	192200	-0.136163003836713	0.144064204061093	10.22	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	10	702500	3.43	594300	741700	-0.0869199449382559	-0.0213401745185534	0.64	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	11	383500	73.85	367800	419300	-0.359585578283023	0.166319680429581	19.86	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	12	638900	4.8	598800	978000	0.0938202103778777	-0.0890150362569713	4.31	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	13	271900	18.17	248200	317800	0.185214736064812	0.185526629699228	18.23	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	14	503100	32.57	480100	539900	0.23595576308945	0.0798223175317555	6.11	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	15	151300	7.75	93500	195300	-0.127077946992999	0.00729948089614896	0.52	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	gfp	15	588500	13.9	551700	634500	0.169116948415389	0.125241461842691	6.45	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	7	204200	3.37	83500	257600	0.0907727814235634	0.124674458385751	10.36	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	7	560400	4.15	423200	617700	0.0789471734404516	0.00943123143214564	0.53	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	8	133600	23.17	100600	150500	0.183771191060303	0.000137256501649974	0.4	specific
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	10	199800	11.16	147000	263600	0.150450325651175	-0.120333745462835	7.72	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	11	386400	20.05	366300	407000	0.166391002702622	-0.362085149306282	73.7	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	12	657000	4.86	598700	746200	-0.0838208783039238	0.0951865416219815	4.5	together
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	13	261700	18.38	239800	299500	0.181573026493302	0.1772986905036	17.55	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	14	487900	6.19	440100	600100	0.0771304760485815	0.232459532294549	31.52	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	15	575400	7.37	541400	600400	0.123087656534547	0.164057123571299	13.89	oposite
YDR099W	BMH2	i	0	1	180515	BMH2_i_0_1	mch	15	819300	6.11	765200	875700	-0.11390590693993	0.015655163097876	1.2	specific
