orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	1	45300	30.44	0	56900	-0.263829926138463	-0.0100858734530598	0.4	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	8	516000	3.39	432600	554900	-0.0556947045181788	0.00647587725937376	0.42	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	10	700200	5.59	641900	741700	0.102385239337756	0.0426551466982528	0.68	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	11	411000	12.95	390500	434200	-0.150837091327416	-0.0589995603856847	2.01	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	12	650600	9	620800	691500	-0.135084535831064	-0.15241727394041	13.95	together
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	13	71700	3.7	0	112500	0.0901488429763686	-0.0645639873072777	3.65	oposite
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	13	369500	5.54	328800	447800	-0.0776260334567307	-0.0140514582574799	0.4	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	15	601400	7.48	530900	630600	-0.103057525475608	0.005664663871222	0.42	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	mch	2	632700	3.13	520800	714600	-0.0769866374518822	-0.0267972264645444	0.45	specific
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	mch	12	693100	18.36	669700	720100	-0.177408195471869	-0.100769393013352	6.85	together
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	mch	13	47300	4.81	0	87100	-0.0693291331539865	0.0829237527591424	3.23	oposite
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	mch	14	459100	24.56	439700	486900	0.209958611511281	-0.0425936765315942	1.14	specific
