orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	1	130700	5.66	98200	207800	-0.123504482988684	0.0129579985506441	0.41	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	4	614900	4.44	474800	722700	0.0818448314042131	0.0278057602229808	0.79	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	4	865100	3.6	771400	1048200	0.0609495656234798	-0.00596349701186449	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	5	372400	7.96	340300	447000	-0.101175592062456	-0.0540780102628352	1.62	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	8	431700	5.19	365200	483500	-0.0791228561432948	-0.0323284616443647	0.67	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	9	189200	3.77	103800	244300	-0.0796169660532725	-0.0411526456557931	0.6	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	11	248200	18.72	181100	276000	-0.182920746008922	-0.0552837558570524	2.84	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	12	627700	3.17	560400	710000	0.0679145247663652	-0.028372576121751	0.41	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	42300	4.37	0	92800	-0.0814746522592512	-0.073655249056555	3.82	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	419900	5.12	381900	486700	0.103960555639138	0.0348563292528665	1.32	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	678400	9.71	646000	716900	0.124929798865294	0.031451831505339	0.78	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	14	158600	43.69	141800	178700	-0.300644859267094	0.00616919892078555	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	14	459800	18.71	443900	486800	0.203422599032296	0.26664955283856	43.43	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	15	131300	4.66	97500	216400	0.0887792097417484	0.0318858435252803	0.94	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	15	707200	4.68	633900	856000	0.105742391681942	-0.0544004262739728	1.12	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	16	281900	3.16	69800	391900	0.0737884228140023	0.0450979782209167	1.46	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	2	101800	5.86	31900	157400	0.111255645146173	0.0404550446216372	0.99	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	2	628900	3.06	506400	718700	-0.079326142941319	-0.00493822841687303	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	4	228300	3.13	0	285400	-0.0545436879929062	-0.0466471965340904	1.24	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	8	92300	7.14	54100	126800	-0.149010631106882	-0.0268934501932198	0.85	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	10	160700	3.21	0	589200	0.0630873303900134	-0.0744914478915728	1.98	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	11	259000	3.02	80800	513700	-0.0566378921879282	-0.176780388217574	17.96	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	13	89400	5.53	35500	150200	-0.103926612525232	-0.0557204978298687	2.66	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	14	463600	43.72	452400	478300	0.265523968387472	0.203233378067653	18.61	together
