orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	1	65300	4.5	0	143800	-0.0818885724302331	-0.00899532188047775	0.52	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	2	508600	6.42	442900	546000	-0.155676833579559	0.0116833404955344	0.4	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	214500	5.04	114800	282200	-0.0849132806363189	-0.0298599369208715	0.46	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	692000	5.17	625400	924900	0.0958842071268919	-0.0236669668153142	0.53	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	1234900	5.73	1066500	1374700	0.082572592382264	-0.0244771451809844	0.97	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	8	438400	12.72	329000	459000	-0.149206336403263	0.0157402535114434	0.53	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	10	265200	5.77	98900	351200	-0.0872615530849662	0.122725028577007	11.21	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	11	175100	24.95	153800	223800	-0.219341290331193	0.0213168435997814	0.71	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	12	647000	6.02	591300	706800	0.116235845452108	-0.059184714204537	2.49	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	13	317100	31.97	294600	347500	0.233096248738982	0.214654193216704	15.37	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	14	472100	58.78	455700	491400	0.391960158496052	0.0979282844937407	4.33	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	15	646800	26.38	608400	690000	0.190508955715787	0.0739573498778389	3.52	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	4	1366900	3.44	1257500	1425300	-0.0526171336255789	0.075288880995103	3.87	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	7	533700	6.56	475500	627900	0.146032976099205	-0.0025532282081282	0.4	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	8	108100	18.93	83800	141500	0.228076937220055	-0.00372039042978556	1.5	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	9	194400	3.48	101200	237000	0.116145586653643	0.00651023021297065	1.28	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	10	175100	16.43	143700	203600	0.176489302524748	-0.0911960966329854	4.9	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	12	730700	3.92	591500	811000	-0.053229951719827	0.067612992713414	3.16	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	13	290200	16.96	225300	320500	0.228112176137951	0.233575289355893	29.48	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	14	487700	4.35	404000	566300	0.0967670945356476	0.378367954100376	57.53	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	15	523400	9.38	492300	599100	0.143089603813768	0.209119125724867	18.45	oposite
