orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	1	132800	10.99	115300	168000	-0.199542038463907	-0.0080015600560463	0.55	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	4	1149500	6.83	1085200	1225800	0.114357710018963	0.0155665695956438	0.53	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	7	368600	4.35	305400	475500	0.0745350596163376	0.0460049929630834	0.42	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	7	591500	3.87	543100	651000	0.0467922900381378	0.0570285405084742	1.95	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	10	149100	100.27	142800	162900	-0.430269787264245	0.202766591064531	16.1	together
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	11	282500	37.5	264400	308600	-0.276292827221272	0.0154310218617678	0.99	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	12	669100	34.51	655400	690700	0.261425084227296	-0.0572696641859589	3.71	together
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	13	99500	26.61	83100	133400	0.193091927006616	0.0983838637665118	6.17	oposite
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	14	470200	58.3	451500	486700	0.306135999507975	0.0571119208772397	2.79	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	gfp	15	564600	24.78	549400	589400	0.219306779155818	-0.014467678139971	0.48	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	2	416200	3.67	369300	576800	0.0592737100605268	-0.0371601915035682	0.66	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	4	379900	3.42	301300	537600	0.0384161590168066	-0.0387732208887126	1.28	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	8	122300	18.5	88300	146900	0.189196176207225	-0.00297500276108481	0.41	specific
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	10	161300	16.29	132800	195800	0.202703884189718	-0.426454570499306	98.76	together
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	11	167300	4.34	89800	236800	0.0901578157035947	-0.124416681437364	11.67	together
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	12	636300	4.76	593800	692700	-0.0984678605387304	0.243454856115132	25.48	together
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	13	191400	9.9	115800	304900	0.109827806189089	0.165531427700364	20.74	oposite
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	14	567400	5.26	483800	720300	0.0725471972111707	0.195493156141321	30.3	oposite
YGR192C	TDH3	i	0	1	180529	TDH3_i_0_1	mch	15	885000	4.1	703800	936100	-0.0534157500968543	0.0507304278218921	1.71	specific
