orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	4	167700	3.11	116200	326200	-0.0731187243394513	-0.0597664562233116	3.07	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	5	400800	7.92	363300	504900	-0.109601751738711	-0.0415911624445873	2.53	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	10	197600	3.72	137300	266500	0.0664813455959405	0.0119928120137831	0.47	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	11	162600	11.68	133600	230200	-0.12313833505842	-0.0919905213568686	7.51	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	12	657400	318.2	650800	666500	-0.940186983189532	-0.542321708256289	142.8	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	13	356400	14.23	312100	423200	0.146059038133219	0.0492798881565959	3.46	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	14	208800	3.54	115800	342300	-0.0834927482415851	-0.0254110387103793	0.4	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	15	119600	14.98	85900	159600	-0.164731524927245	-0.0712684200072993	4.08	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	2	655200	3.84	466900	712800	-0.0692330902489117	0.0290380193681556	0.65	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	4	107800	4.11	0	278900	-0.0717079929940989	-0.0154217474780908	0.84	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	4	1321500	3.3	1259400	1381200	-0.0749301988891137	-0.00769468602591555	0.43	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	11	253300	9.34	159500	307000	-0.118759497132556	-0.111248349842662	8.7	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	12	671700	144.17	654300	685600	-0.536915952733279	-0.898766180297574	312.72	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	13	54300	8.06	0	79300	-0.113233858862948	0.079298661986542	5.38	oposite
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	13	281600	4.26	245600	470300	0.100694298673757	0.0993808191035404	9.57	together
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	14	469600	44.36	442900	488500	0.297655431047761	0.0799285267836555	2.53	specific
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	15	151900	4.5	0	229900	-0.0747995441715232	-0.154227255166243	14.18	together
