orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	2	384600	4.51	346100	429800	-0.0998664493908185	-0.0335409594707435	0.46	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	3	176500	3.38	135700	232900	0.0208389075120994	-0.0132558001073586	4.84	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	4	86100	7.61	0	124100	-0.10098862210026	-0.0664083430198282	3.5	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	4	362400	3.13	307600	431200	-0.0729084761894166	-0.00075640119505882	0.79	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	4	1076300	21.25	1046100	1101400	0.17469484946342	-0.167141711655575	10.21	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	5	39100	4.49	16100	75000	-0.0225388273682039	-0.00226861856480694	5.13	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	7	125700	9.05	106600	182200	0.13636368079049	-0.0194271331703759	0.56	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	8	3700	3.52	0	129500	0.0798704198229628	-0.0665858906274892	1.59	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	10	150500	56.2	142400	159300	-0.319741426742741	0.111354035694277	3.1	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	11	129000	3.96	84100	199700	0.105484455913295	0.0311532464450869	0.57	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	12	680200	43.87	656100	703400	0.29744319809898	-0.0153077938381155	0.41	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	13	325300	10.32	284600	363600	0.143489250373537	-0.0234759288356106	0.4	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	14	485300	21.4	460700	507400	0.181876048714596	0.255593096453013	24.56	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	15	166700	43.17	155600	181100	-0.290361868151431	-0.0393295527032579	1.5	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	3	195100	4.87	147000	222700	-0.0199436376329211	0.0211836835548388	3.15	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	4	129000	4.12	0	224100	-0.0435036420724916	-0.0900344540510587	5.21	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	4	1061200	10.62	988600	1104400	-0.166545620290199	0.179036476755909	20.8	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	5	54900	5.26	17600	77500	-0.0166264260905024	-0.0304196263357455	3.99	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	10	117600	3.73	0	235300	0.124336703050101	-0.282981062941749	44.99	oposite
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	11	398100	4.54	344800	423400	-0.0189994010291253	-0.0164844095832594	0.53	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	13	28700	3.58	0	166700	-0.0762139584281066	0.0498980583910383	1.61	specific
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	14	487900	24.63	453800	502800	0.254098843404088	0.180960336367278	21.38	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	15	73700	4.28	0	152200	-0.0774832564601712	-0.172438494465391	20.65	together
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	mch	15	558500	4.39	493400	612200	0.0750472470493755	0.041066766905018	1.02	specific
