orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	3	125100	3.06	0	225400	0.0290616556432425	-0.010421470016866	0.53	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	4	492000	4.5	367100	603100	-0.095208529422673	0.0296253072736594	1.3	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	4	980500	4.2	870500	1077900	0.145230009655998	-0.112450149410457	6.77	together
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	7	163600	3.33	0	619100	0.0839808989262255	0.0139800106878078	0.83	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	10	148200	57.31	137300	159100	-0.439830076533658	0.234195703964771	22.96	together
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	12	692900	21.61	647800	727100	0.295716000317886	-0.112294422497525	5.75	together
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	13	261300	9.58	163200	313200	0.157938022713937	0.211811856757851	21.04	oposite
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	14	519300	27.98	480100	537200	0.300955476819427	0.0180034527990904	1.42	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	15	59500	11.5	0	95800	-0.145519647965005	0.00448347100014196	0.4	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	gfp	15	569900	8.96	451700	626400	0.169829831143219	0.0947138621724573	6.1	oposite
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	4	1077500	11.07	1020600	1103200	-0.143916652267072	0.116411601580014	2.2	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	8	101900	14.43	74100	132800	0.18010333147655	0.0946719840553519	1.26	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	10	152400	23.51	141100	191400	0.238986203426611	-0.437272656589775	56.79	together
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	11	644000	3.93	508500	660400	-0.0656712486885164	-0.033572162276903	0.58	specific
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	12	781800	8.56	734800	815200	-0.123702873761353	0.205965761038627	10.71	together
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	13	257600	21.04	226700	279000	0.211165284705831	0.156922627103091	9.54	oposite
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	15	553100	6.71	514800	606800	0.109789928537519	0.142936405042106	8.46	oposite
YKL035W	UGP1	i	0	1	180529	UGP1_i_0_1	mch	16	559900	3.06	420500	712400	0.0589963895877934	-0.023375830874623	0.49	specific
