orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	2	93700	3.02	0	155100	-0.0699401156650514	0.00759300328621082	0.42	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	4	1444900	3.16	1345400	1522200	-0.0627914052156665	-0.0339168197059596	1.4	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	5	477600	3.13	337700	566500	-0.0739460944195135	0.00730732974756121	0.43	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	7	530100	5.08	371700	585700	0.0839575543729285	0.00890196134442128	0.63	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	7	899600	3.37	847100	1081000	-0.0719914448950904	0.00657468237894321	0.58	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	8	176800	9.27	151500	250300	-0.115857177172868	-0.0797593345578816	4.86	together
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	10	205500	5.56	92900	250500	0.095536757949899	0.0815581054235872	7.17	together
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	12	612300	4.43	547400	782400	0.0922547351543391	-0.0454675218279277	2.01	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	13	155000	35.01	136400	168100	0.243863796475907	-0.0308949843934113	0.98	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	13	885600	5.08	815500	922700	0.089010604274025	0.0578604358105395	2.53	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	14	181600	20.05	151600	232700	-0.199511616912587	-0.027407535255371	0.44	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	15	726300	3.07	666700	848600	0.0801165145436042	-0.063061418041566	2.46	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	2	566500	5.18	527600	647600	-0.109652191141496	-0.00716135795266243	0.4	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	4	1302000	4.14	1227300	1393200	-0.047262664311076	-0.00666038916892242	0.61	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	7	328500	3.68	261700	392900	0.101398402283971	0.0538362924534432	2.05	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	8	112800	7.28	73900	148900	-0.111996496247517	-0.0550848344378755	4.44	together
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	10	143400	8.15	99400	297100	0.142791037869652	0.0849312603462251	4.83	together
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	11	195000	3.83	100600	470800	-0.0686293425983367	-0.0534053397384007	1.5	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	12	693300	5.08	640600	740800	-0.107359467179994	0.0382161171304747	3.49	oposite
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	13	333500	3.83	234600	541200	0.0519939947889336	0.10714612724955	10.15	together
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	13	806500	4.06	671600	905300	0.0783789231821775	0.0545190658056107	2.98	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	14	467800	23	431800	511700	0.21614545549915	-0.0486330038583993	2.35	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	15	366300	3.08	231600	479800	-0.0548152108254857	-0.0440026975236029	1.3	specific
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	15	773000	5.05	736700	839800	-0.0822500277959408	0.0639511383914196	2.24	specific
