orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	7	527300	9.42	404900	575400	0.111350976662254	0.0282430891518775	1.61	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	8	211400	15.35	151700	247300	-0.147476111122914	0.111937107918394	5.75	together
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	10	152500	28.33	141600	178400	0.23906196125735	0.13951616510307	14.25	oposite
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	12	617700	6.78	566700	718100	0.112787087112415	-0.0731893111727839	2.24	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	13	116200	59.25	97100	129600	0.309398999619846	0.042268306768944	1.84	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	14	232900	3.07	90600	279400	-0.0759361119982032	0.0768873997987646	1.61	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	14	471700	15.76	441400	507600	0.164039484302731	0.0679376006766907	2.3	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	15	16900	7.41	0	57800	-0.177667969804321	-0.0354276468201133	0.81	specific
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	gfp	15	505700	31.32	484900	517400	-0.233026915592989	0.0777358964060766	6.42	together
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	mch	8	113400	14.83	85500	156500	0.180780085598602	-0.13179344200011	8.72	together
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	mch	10	155700	14.32	135400	184200	0.138556323609479	0.240901630660628	28.27	oposite
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	mch	13	241600	8	213500	324600	0.122685007198067	0.154669473855072	20.57	oposite
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	mch	14	445600	3.32	186200	496700	0.071381405270067	0.150530667090489	14.22	oposite
YKR080W	MTD1	i	0	1	180529	MTD1_i_0_1	mch	15	556700	7.89	500100	589000	0.100680951804533	-0.18319212824909	21.81	together
