orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	1	116500	4.5	64500	207800	-0.0934737463188105	0.0203847908558711	0.45	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	5	166600	3.06	92300	228600	-0.0768043831659126	-0.00953973516343626	0.58	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	7	132900	6.89	83000	187400	-0.100237592083879	-0.0597879269426663	1.56	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	7	512900	13.98	475000	542200	-0.168736875242121	-0.0287305934181142	0.79	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	12	675400	39.4	653300	703600	-0.264633988185885	-0.169047943099532	18.67	together
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	14	407300	10.55	373100	446600	0.134950116504596	0.152049084625343	11.1	together
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	15	147500	295.77	142000	155800	-0.801255680602372	-0.117618537223959	7.93	together
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	15	702200	5.64	619900	768700	0.0905640230081546	-0.0437173415275159	1.64	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	2	626000	6.25	512800	668200	-0.0997014090419793	0.0303242567276178	0.97	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	11	315200	4.8	294500	388500	-0.0668954471200567	-0.0139145843250852	0.45	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	12	652600	20.65	628600	675700	-0.17938276552122	-0.253614705922347	37.21	together
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	13	65300	4.74	0	132000	-0.0884367276222592	-0.0345242615846911	1.08	specific
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	14	473700	25.54	451300	497000	0.226979192359665	0.119780092183913	6.04	together
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	15	169500	8.22	101600	205600	-0.121583829279637	-0.767719914188934	274.5	together
