orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	3	106400	8.78	69300	198900	0.0475440037369084	0.0363803939240787	0.61	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	5	58100	5.2	1200	132400	0.0172861452555053	-0.0430352912818276	0.99	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	11	229900	4.35	75400	293800	-0.171844478397606	-0.0926680994271095	4.95	together
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	13	88000	22.38	68300	141100	0.188021693948214	-0.0558486418765508	1.87	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	14	217700	5.17	126400	329500	-0.0974573286027281	0.0360241183997461	2.14	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	15	138300	5.18	108300	181200	0.0771889576206052	0.0330904269124033	1.69	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	15	785000	12.98	767700	818700	0.0809527167672207	0.0344025862020119	0.48	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	gfp	16	453100	3.04	398300	626800	-0.116712460705829	-0.0283414896085218	0.47	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	2	609500	6.09	557200	656200	-0.10330676660772	-0.091513580436536	1.77	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	4	90300	6.56	57900	132500	-0.10481669179115	-0.0355164657188146	0.45	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	4	926300	3.33	876700	1036500	0.0499419276826134	-0.00202083046500423	0.74	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	10	520700	3.22	430700	632100	0.0643065006409185	0.019240482649299	0.49	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	11	213000	5.22	140600	299800	-0.0884232515945969	-0.162799097084471	3.97	together
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	13	262700	6.07	224500	391200	0.111326895159492	0.104052483112707	7.92	together
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	14	471000	32.43	442800	490900	0.231123004481097	-0.0597460029045319	1.87	specific
YOR293W	RPS10A	a	1	1	190201	RPS10A_a_1_1	mch	16	198900	5.11	165100	249800	0.0867473246873423	0.0768835908934344	2.73	specific
