orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	1	152400	10.4025	120350	207800	-0.137931067643789	-0.00731782432639735	0.215	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	4	174800	5.585	139900	231600	-0.0987388239217802	-0.0674759020704144	2.9925	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	5	425800	5.43	320400	497550	-0.0876056973949725	-0.026911077199663	0.8225	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	7	380900	4.9925	321800	438550	0.102641748481628	0.0385420824282893	1.54	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	10	171900	22.2375	142600	213050	-0.19505235047208	0.0352065192569561	0.98	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	10	643700	3.7775	557900	721200	0.0847379755409108	-0.0452108034331373	1.5975	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	11	305150	60.4775	280650	324550	-0.308175867121632	0.00382174267534788	0.0175	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	13	339650	9.8825	206850	381250	0.130082127576784	0.0342942546171288	1.56	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	14	225850	10.0325	166000	260600	-0.123974896803257	-0.0089667607842244	0.1625	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	15	187800	8.285	141950	213550	-0.108764523030065	-0.00854855736367	0.5375	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	mch	2	575500	7.455	537100	601800	-0.106611940886531	0.0457767115329451	1.56	specific	1
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	mch	8	85200	3.855	49600	212300	-0.0792668244486913	0.0071782959572986	0.41	specific	1
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	mch	13	64800	3.5575	0	115800	-0.0760412544059547	0.0397605185570387	1.575	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	mch	14	469200	55.9475	452250	483250	0.315885739560851	0.0568318255770762	1.7825	specific	2
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	mch	15	545900	4.51	500800	582000	0.0712414133284644	-0.0824712417471382	6.17	oposite	1
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	gfp	15	564700	7.09	547500	587100	-0.0850607357508295	0.0671543437345951	3.975	oposite	1
YDR099W	BMH2	a	1	1	190201	BMH2_a_1_1	mch	12	684400	4.365	650300	756100	-0.0730602710747478	-0.0272230729621962	2.265	specific	1
