orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YDR099W	BMH2	1	2	gfp	10.4025	-0.137931067643789	152400	120350	207800	0.215	-0.00731782432639735	152400	120350	207800
YDR099W	BMH2	2	1	mch	1.56	0.0457767115329451	85200	537100	601800	7.455	-0.106611940886531	575500	537100	601800
YDR099W	BMH2	4	2	gfp	5.585	-0.0987388239217802	174800	139900	231600	2.9925	-0.0674759020704144	174800	139900	231600
YDR099W	BMH2	5	2	gfp	5.43	-0.0876056973949725	425800	320400	497550	0.8225	-0.026911077199663	425800	320400	497550
YDR099W	BMH2	7	2	gfp	4.9925	0.102641748481628	380900	321800	438550	1.54	0.0385420824282893	380900	321800	438550
YDR099W	BMH2	8	1	mch	0.41	0.0071782959572986	85200	49600	212300	3.855	-0.0792668244486913	85200	49600	212300
YDR099W	BMH2	10	2	gfp	22.2375	-0.19505235047208	171900	142600	213050	0.98	0.0352065192569561	171900	142600	213050
YDR099W	BMH2	10	2	gfp	3.7775	0.0847379755409108	643700	557900	721200	1.5975	-0.0452108034331373	643700	557900	721200
YDR099W	BMH2	11	2	gfp	60.4775	-0.308175867121632	305150	280650	324550	0.0175	0.00382174267534788	305150	280650	324550
YDR099W	BMH2	12	1	mch	2.265	-0.0272230729621962	85200	650300	756100	4.365	-0.0730602710747478	684400	650300	756100
YDR099W	BMH2	13	2	mch	1.575	0.0397605185570387	85200	0	115800	3.5575	-0.0760412544059547	64800	0	115800
YDR099W	BMH2	13	2	gfp	9.8825	0.130082127576784	339650	206850	381250	1.56	0.0342942546171288	339650	206850	381250
YDR099W	BMH2	14	2	mch	1.7825	0.0568318255770762	85200	452250	483250	55.9475	0.315885739560851	469200	452250	483250
YDR099W	BMH2	14	2	gfp	10.0325	-0.123974896803257	225850	166000	260600	0.1625	-0.0089667607842244	225850	166000	260600
YDR099W	BMH2	15	2	gfp	8.285	-0.108764523030065	187800	141950	213550	0.5375	-0.00854855736367	187800	141950	213550
YDR099W	BMH2	15	1	oposite	7.09	-0.0850607357508295	564700	547500	587100	4.51	0.0712414133284644	545900	500800	582000
