orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	2	170300	4.24	29100	275000	-0.0862662249645874	-0.0175512582303535	0.4	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	5	211900	3.39	102600	294400	0.0748434389250101	0.0384050610037031	1.39	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	7	203000	3.16	96900	291400	-0.0811579504720289	0.0863420305371707	3.67	oposite	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	12	1055400	10.38	1007600	1058900	0.174571927291148	0.0258822657260705	0.45	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	13	74400	14.49	54600	108600	0.155394195829312	0.0570220306797628	0.65	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	14	477700	5.1	419400	524300	-0.0993991656648512	0.221432940230082	20.66	oposite	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	gfp	15	183300	3.61	119500	264900	0.0899865743332606	-0.0192691154143508	0.55	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	5	377600	8.48	349200	415700	0.101538274174973	0.0114200703446522	0.41	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	7	113600	5.13	0	232700	0.0775863080338052	-0.0433620602599186	1.57	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	7	404000	3.73	330300	493700	0.0896930084990987	-0.0032066021031919	0.42	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	8	111300	14.32	68100	150800	0.184911311843876	-0.0139795366547066	0.92	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	12	695000	13.77	653800	773900	-0.164468122717695	0.0157721283918179	0.78	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	13	286700	11.4	231800	321900	0.154702078019759	0.00728138234793885	0.4	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	14	531100	23.47	486500	552200	0.224232791715216	-0.0510752615026565	2.6	specific	1
YFL039C	NA	i	0	1	180515	NA_i_0_1	mch	16	587900	3.7	474900	638600	0.0505184643617557	0.0646207346642056	2.42	specific	1
