orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YFL039C	NA	2	1	gfp	4.24	-0.0862662249645874	170300	29100	275000	0.4	-0.0175512582303535	170300	29100	275000
YFL039C	NA	5	1	gfp	3.39	0.0748434389250101	211900	102600	294400	1.39	0.0384050610037031	211900	102600	294400
YFL039C	NA	5	1	mch	0.41	0.0114200703446522	NA	349200	415700	8.48	0.101538274174973	377600	349200	415700
YFL039C	NA	7	1	oposite	3.16	-0.0811579504720289	203000	96900	291400	5.13	0.0775863080338052	113600	0	232700
YFL039C	NA	7	1	mch	0.42	-0.0032066021031919	NA	330300	493700	3.73	0.0896930084990987	404000	330300	493700
YFL039C	NA	8	1	mch	0.92	-0.0139795366547066	NA	68100	150800	14.32	0.184911311843876	111300	68100	150800
YFL039C	NA	12	1	gfp	10.38	0.174571927291148	1055400	1007600	1058900	0.45	0.0258822657260705	1055400	1007600	1058900
YFL039C	NA	12	1	mch	0.78	0.0157721283918179	NA	653800	773900	13.77	-0.164468122717695	695000	653800	773900
YFL039C	NA	13	1	gfp	14.49	0.155394195829312	74400	54600	108600	0.65	0.0570220306797628	74400	54600	108600
YFL039C	NA	13	1	mch	0.4	0.00728138234793885	NA	231800	321900	11.4	0.154702078019759	286700	231800	321900
YFL039C	NA	14	1	oposite	5.1	-0.0993991656648512	477700	419400	524300	23.47	0.224232791715216	531100	486500	552200
YFL039C	NA	15	1	gfp	3.61	0.0899865743332606	183300	119500	264900	0.55	-0.0192691154143508	183300	119500	264900
YFL039C	NA	16	1	mch	2.42	0.0646207346642056	NA	474900	638600	3.7	0.0505184643617557	587900	474900	638600
