orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	1	43500	32.6275	0	56150	-0.285835835568403	-0.0468191541139484	1.4925	specific	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	11	325400	15.5	299800	350100	-0.127433262863985	-0.0567625733109198	2.375	specific	1
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	12	655100	67.9725	636350	682250	-0.315607793428334	-0.166398976346878	14.8975	together	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	13	62600	4.8175	0	110050	0.0904799334868153	-0.0720693224831655	3.0975	oposite	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	13	389650	4.22	344900	466750	-0.0703543149411031	0.0133222123767595	0.71	specific	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	gfp	15	571950	5.8275	516150	646950	-0.0874340043803269	0.0350796575418952	1.585	specific	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	mch	11	442800	4.395	346600	465000	-0.0674490094099422	-0.151380096804582	12.895	together	1
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	mch	12	681850	16.4	654550	711200	-0.177587083427995	-0.28901352487536	65.075	together	2
YGL055W	OLE1	a	1	1	190201	OLE1_a_1_1	mch	14	465450	25.3425	445950	490550	0.205207101346794	-0.0097700533390221	0.2875	specific	2
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	10	700200	3.49	641900	741700	0.0650795235006076	0.0178652381611903	0.14	specific	1
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	gfp	11	411000	16.285	390500	434200	-0.1676280133192	-0.076102858382889	3.565	together	1
YGL055W	OLE1	a	2	1	190201	OLE1_a_2_1	mch	13	47300	3.26	0	87100	-0.066674169395187	0.0846230652087773	4.73	oposite	1
