orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YGL202W	ARO8	1	2	gfp	4.84	-0.102940415047245	143400	95800	207800	0.2025	0.0105542532340889	143400	95800	207800
YGL202W	ARO8	2	1	together	7.93	0.113296939819358	134800	114500	154500	6.345	0.106527181071754	117250	59150	162150
YGL202W	ARO8	2	2	mch	0.1675	0.00466987587796429	614800	531200	675550	5.5625	-0.0918014046669312	614800	531200	675550
YGL202W	ARO8	4	1	together	3.88	-0.0784216395089998	171200	140400	215700	3.58	-0.0616584106321726	96100	0	190000
YGL202W	ARO8	4	1	gfp	4.62	0.0805602268611071	614900	474800	722700	0.18	0.00322772800264826	614900	474800	722700
YGL202W	ARO8	4	1	gfp	5.135	0.0894682709006207	691900	634800	763800	0.16	-0.00764163829639347	691900	634800	763800
YGL202W	ARO8	4	1	gfp	3.62	0.0542601659667072	998800	945800	1055300	0.905	0.0161513483497429	998800	945800	1055300
YGL202W	ARO8	5	2	gfp	8.6325	-0.113173625874381	385000	342950	446250	1.8725	-0.0542268079041232	385000	342950	446250
YGL202W	ARO8	8	2	gfp	8.0775	-0.102462772617645	435600	381750	476700	0.5425	-0.0267701219241048	435600	381750	476700
YGL202W	ARO8	8	2	mch	0.17	-0.00324080560446686	614800	69400	137550	7.64	-0.145199615877641	103200	69400	137550
YGL202W	ARO8	10	1	gfp	6.67	-0.102332786740391	157500	123300	216500	1.835	0.0498910039260138	157500	123300	216500
YGL202W	ARO8	11	2	together	24.52	-0.200318690184479	235250	191200	277350	3.855	-0.0607889887907242	290800	181350	484650
YGL202W	ARO8	13	2	together	4.525	-0.110148322176128	32400	0	79350	6.6425	-0.110180966033194	78200	41050	117100
YGL202W	ARO8	13	1	gfp	10.08	0.127631795785801	250800	224000	270600	0.94	0.0382943557169784	250800	224000	270600
YGL202W	ARO8	13	1	gfp	5.455	0.0859515677202396	419900	381900	486700	1.115	0.040904774027495	419900	381900	486700
YGL202W	ARO8	13	2	gfp	6.2075	0.0932195739876216	710750	657600	794800	0.69	0.0242037792898056	710750	657600	794800
YGL202W	ARO8	14	2	gfp	85.4725	-0.402839572676455	162150	148500	177750	1.545	-0.039327328772033	162150	148500	177750
YGL202W	ARO8	14	2	together	14.585	0.180910727113932	468100	449000	537450	46.68	0.290398634232849	462150	450450	480250
YGL202W	ARO8	15	2	gfp	3.48	0.0899854885038792	148000	110900	224850	0.0775	0.00229354269466969	148000	110900	224850
YGL202W	ARO8	15	1	together_mch	4.715	0.0817976479329513	614800	516700	592200	5.215	0.0601949990088187	572900	516700	592200
YGL202W	ARO8	15	2	gfp	13.1525	0.149388611399466	703850	659550	793450	0.2825	-0.0220470117952277	703850	659550	793450
YGL202W	ARO8	16	1	gfp	4.055	0.079522294509663	176400	121700	365600	1.615	0.0479553264491506	176400	121700	365600
YGL202W	ARO8	16	1	gfp	3.33	0.0641743948355862	281900	69800	391900	2.28	0.0569358151520848	281900	69800	391900
