orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	1	155000	14.49	132500	207800	-0.202454440251549	-0.0888897174261654	2.7	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	4	1521900	6.67	1504900	1522200	0.152106646398742	0.0642190466335398	0.88	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	5	383500	6.45	297100	407900	0.102921922480578	0.18020372418516	14.84	together	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	7	361700	12.91	334600	406900	0.15805462592192	-0.00510453541842482	0.41	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	10	174800	20.99	146600	263200	-0.215490756877423	0.194610958199142	18.86	oposite	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	11	267600	26.52	243800	297100	-0.225095136468746	-0.0263123246605874	0.75	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	12	745000	7.01	670000	793200	0.112419622907072	0.00552012576757438	0.42	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	13	105500	5.34	58200	159500	0.113165882147097	-0.0311246498101906	1.52	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	13	404900	4.5	287900	471700	0.0959118253883678	-0.0027895672903927	0.44	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	14	475900	17.69	448800	517700	0.186433761035689	0.20210620407166	23.38	together	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	15	12900	4.33	0	63300	0.111572726337502	0.177976069910563	1.06	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	gfp	15	367600	3.51	286600	421600	-0.0752047712409131	-0.0202758179678997	0.61	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	1	196600	3.25	106400	207800	-0.0994336166729458	-0.155761183203902	13.48	together	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	2	574600	5.14	511200	620600	-0.0514003160235188	-0.00611845771231678	0.46	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	5	407400	15.36	360000	446300	0.190191009832563	0.0929401339756353	4.49	together	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	8	99700	4.52	49400	149700	-0.0878141883798798	0.0110207445098732	0.53	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	10	152000	21.74	126300	170600	0.205733752849037	-0.212385503485385	19.76	oposite	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	11	180200	4.01	101700	227500	-0.0641089792344378	-0.131906745430732	12.35	together	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	14	149000	3.44	25100	216600	-0.0705474100359267	-0.0076058258322303	1.05	specific	1
YGR192C	TDH3	a	0	1	180529	TDH3_a_0_1	mch	14	481600	23.6	449700	522700	0.203094419770534	0.188046237698793	17.67	together	1
