orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YGR192C	TDH3	1	1	together	14.49	-0.202454440251549	155000	132500	207800	3.25	-0.0994336166729458	196600	106400	207800
YGR192C	TDH3	2	1	mch	0.46	-0.00611845771231678	NA	511200	620600	5.14	-0.0514003160235188	574600	511200	620600
YGR192C	TDH3	4	1	gfp	6.67	0.152106646398742	1521900	1504900	1522200	0.88	0.0642190466335398	1521900	1504900	1522200
YGR192C	TDH3	5	1	together	6.45	0.102921922480578	383500	297100	407900	15.36	0.190191009832563	407400	360000	446300
YGR192C	TDH3	7	1	gfp	12.91	0.15805462592192	361700	334600	406900	0.41	-0.00510453541842482	361700	334600	406900
YGR192C	TDH3	8	1	mch	0.53	0.0110207445098732	NA	49400	149700	4.52	-0.0878141883798798	99700	49400	149700
YGR192C	TDH3	10	1	oposite	20.99	-0.215490756877423	174800	146600	263200	21.74	0.205733752849037	152000	126300	170600
YGR192C	TDH3	11	1	gfp	26.52	-0.225095136468746	267600	243800	297100	0.75	-0.0263123246605874	267600	243800	297100
YGR192C	TDH3	11	1	together_mch	12.35	-0.131906745430732	NA	101700	227500	4.01	-0.0641089792344378	180200	101700	227500
YGR192C	TDH3	12	1	gfp	7.01	0.112419622907072	745000	670000	793200	0.42	0.00552012576757438	745000	670000	793200
YGR192C	TDH3	13	1	gfp	5.34	0.113165882147097	105500	58200	159500	1.52	-0.0311246498101906	105500	58200	159500
YGR192C	TDH3	13	1	gfp	4.5	0.0959118253883678	404900	287900	471700	0.44	-0.0027895672903927	404900	287900	471700
YGR192C	TDH3	14	1	together	17.69	0.186433761035689	475900	448800	517700	23.6	0.203094419770534	481600	449700	522700
YGR192C	TDH3	14	1	mch	1.05	-0.0076058258322303	NA	25100	216600	3.44	-0.0705474100359267	149000	25100	216600
YGR192C	TDH3	15	1	gfp	4.33	0.111572726337502	12900	0	63300	1.06	0.177976069910563	12900	0	63300
YGR192C	TDH3	15	1	gfp	3.51	-0.0752047712409131	367600	286600	421600	0.61	-0.0202758179678997	367600	286600	421600
