orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	1	162000	3.565	112800	199400	-0.0852315061390689	0.0304211161047994	0.346666666666667	specific	2
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	4	76300	4.815	0	132650	-0.0852305326731091	-0.0656572555447942	3.22166666666667	together	2
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	4	1040200	16.5511111111111	1004566.66666667	1091466.66666667	0.173377213391118	-0.190519174997386	22.3544444444444	oposite	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	7	355650	3.71166666666667	307000	416700	0.0831313939515499	0.0196026030632962	0.526666666666667	specific	2
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	10	148566.666666667	49.3077777777778	137333.333333333	166466.666666667	-0.307309529860168	0.111046707820822	4.81777777777778	oposite	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	12	686366.666666667	30.6144444444444	653166.666666667	724000	0.241435943006726	-0.0365410990872826	1.51111111111111	specific	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	13	278733.333333333	5.50111111111111	171700	338333.333333333	0.087287073536748	0.0294976945541756	1.27333333333333	specific	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	14	484300	14.6144444444444	449400	509733.333333333	0.166145104324205	0.241785939250731	28.1888888888889	together	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	15	162766.666666667	23.6844444444444	141766.666666667	185533.333333333	-0.213459249639876	-0.0465610761284391	2.61777777777778	specific	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	4	1071200	26.0544444444444	1030200	1102333.33333333	-0.205549735930151	0.175642890476542	16.91	oposite	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	10	130133.333333333	5.21555555555556	47300	199233.333333333	0.118297369655377	-0.28768279569472	44.7677777777778	oposite	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	13	52033.3333333333	6.01222222222222	12666.6666666667	121400	-0.102693775501125	0.0440742092304134	1.60555555555556	specific	3
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	14	483333.333333333	29.3288888888889	457800	500666.666666667	0.24409344952275	0.167258857759571	14.9633333333333	together	3
YKL035W	UGP1	a	1	1	190201	UGP1_a_1_1	gfp	10	657600	6.8	632200	674600	0.0737024648674612	-0.043904659166565	1.33	specific	1
YKL035W	UGP1	aF	0	1	180529	UGP1_aF_0_1	gfp	7	125700	4.76666666666667	106600	182200	0.0998132004911911	-0.0196345904275894	0.573333333333333	specific	1
