orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YKL035W	UGP1	1	2	gfp	3.565	-0.0852315061390689	162000	112800	199400	0.346666666666667	0.0304211161047994	162000	112800	199400
YKL035W	UGP1	4	2	gfp	4.815	-0.0852305326731091	76300	0	132650	3.22166666666667	-0.0656572555447942	76300	0	132650
YKL035W	UGP1	4	3	oposite	16.5511111111111	0.173377213391118	1040200	1004566.66666667	1091466.66666667	26.0544444444444	-0.205549735930151	1071200	1030200	1102333.33333333
YKL035W	UGP1	7	1	gfp	4.76666666666667	0.0998132004911911	125700	106600	182200	0.573333333333333	-0.0196345904275894	125700	106600	182200
YKL035W	UGP1	7	2	gfp	3.71166666666667	0.0831313939515499	355650	307000	416700	0.526666666666667	0.0196026030632962	355650	307000	416700
YKL035W	UGP1	10	3	oposite	49.3077777777778	-0.307309529860168	148566.666666667	137333.333333333	166466.666666667	5.21555555555556	0.118297369655377	130133.333333333	47300	199233.333333333
YKL035W	UGP1	10	1	gfp	6.8	0.0737024648674612	657600	632200	674600	1.33	-0.043904659166565	657600	632200	674600
YKL035W	UGP1	12	3	gfp	30.6144444444444	0.241435943006726	686366.666666667	653166.666666667	724000	1.51111111111111	-0.0365410990872826	686366.666666667	653166.666666667	724000
YKL035W	UGP1	13	3	gfp	5.50111111111111	0.087287073536748	278733.333333333	171700	338333.333333333	1.27333333333333	0.0294976945541756	278733.333333333	171700	338333.333333333
YKL035W	UGP1	13	3	mch	1.60555555555556	0.0440742092304134	NA	12666.6666666667	121400	6.01222222222222	-0.102693775501125	52033.3333333333	12666.6666666667	121400
YKL035W	UGP1	14	3	together	14.6144444444444	0.166145104324205	484300	449400	509733.333333333	29.3288888888889	0.24409344952275	483333.333333333	457800	500666.666666667
YKL035W	UGP1	15	3	gfp	23.6844444444444	-0.213459249639876	162766.666666667	141766.666666667	185533.333333333	2.61777777777778	-0.0465610761284391	162766.666666667	141766.666666667	185533.333333333
