orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	7	123000	7.2625	80450	201050	-0.103415628941977	-0.0571448232880832	1.9675	specific	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	7	495850	14.355	464350	524700	-0.159673359040145	-0.0317207969649097	1.1275	specific	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	12	682550	31.3	662700	706050	-0.232287098583001	-0.135742142179917	12.3725	together	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	14	442800	13.75	415200	472650	0.155122180470544	0.210514042932449	24.74	together	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	15	146300	291.7825	138800	154000	-0.820170154968355	-0.158852361238498	17.4225	together	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	gfp	15	603300	8.57	582800	644400	0.103098650970983	-0.0191306528705326	0.78	specific	1
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	mch	11	308500	4.0875	264300	362900	-0.0581605394577704	-0.0140145996216189	0.5875	specific	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	mch	12	677200	12.7675	625300	715450	-0.134170507903013	-0.222222341628055	29.33	together	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	mch	13	63400	7.6425	18900	110600	-0.114001261797591	-0.0366775508219608	1.5575	specific	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	mch	14	469400	32.6775	448900	488600	0.245896914972749	0.167466502430557	14.95	together	2
YLL028W	TPO1	a	1	1	190201	TPO1_a_1_1	mch	15	144550	17.3475	103250	177550	-0.155906879855757	-0.76696558149694	270.7475	together	2
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	gfp	15	702200	5.88	619900	768700	0.0889108487137886	-0.0434386096802095	1.505	specific	1
YLL028W	TPO1	a	2	1	190201	TPO1_a_2_1	mch	2	626000	4.4	512800	668200	-0.0763648118872198	0.0102115347720909	0.265	specific	1
