orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YLL028W	TPO1	2	1	mch	0.265	0.0102115347720909	NA	512800	668200	4.4	-0.0763648118872198	626000	512800	668200
YLL028W	TPO1	7	2	gfp	7.2625	-0.103415628941977	123000	80450	201050	1.9675	-0.0571448232880832	123000	80450	201050
YLL028W	TPO1	7	2	gfp	14.355	-0.159673359040145	495850	464350	524700	1.1275	-0.0317207969649097	495850	464350	524700
YLL028W	TPO1	11	2	mch	0.5875	-0.0140145996216189	NA	264300	362900	4.0875	-0.0581605394577704	308500	264300	362900
YLL028W	TPO1	12	2	together	31.3	-0.232287098583001	682550	662700	706050	12.7675	-0.134170507903013	677200	625300	715450
YLL028W	TPO1	13	2	mch	1.5575	-0.0366775508219608	NA	18900	110600	7.6425	-0.114001261797591	63400	18900	110600
YLL028W	TPO1	14	2	together	13.75	0.155122180470544	442800	415200	472650	32.6775	0.245896914972749	469400	448900	488600
YLL028W	TPO1	15	2	together	291.7825	-0.820170154968355	146300	138800	154000	17.3475	-0.155906879855757	144550	103250	177550
YLL028W	TPO1	15	1	gfp	8.57	0.103098650970983	603300	582800	644400	0.78	-0.0191306528705326	603300	582800	644400
YLL028W	TPO1	15	1	gfp	5.88	0.0889108487137886	702200	619900	768700	1.505	-0.0434386096802095	702200	619900	768700
