orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YOR293W	RPS10A	2	1	mch	1.77	-0.091513580436536	NA	557200	656200	6.09	-0.10330676660772	609500	557200	656200
YOR293W	RPS10A	3	1	gfp	8.78	0.0475440037369084	106400	69300	198900	0.61	0.0363803939240787	106400	69300	198900
YOR293W	RPS10A	4	1	mch	0.45	-0.0355164657188146	NA	57900	132500	6.56	-0.10481669179115	90300	57900	132500
YOR293W	RPS10A	4	1	mch	0.74	-0.00202083046500423	NA	876700	1036500	3.33	0.0499419276826134	926300	876700	1036500
YOR293W	RPS10A	5	1	gfp	5.2	0.0172861452555053	58100	1200	132400	0.99	-0.0430352912818276	58100	1200	132400
YOR293W	RPS10A	10	1	mch	0.49	0.019240482649299	NA	430700	632100	3.22	0.0643065006409185	520700	430700	632100
YOR293W	RPS10A	11	1	together	4.35	-0.171844478397606	229900	75400	293800	5.22	-0.0884232515945969	213000	140600	299800
YOR293W	RPS10A	13	1	gfp	22.38	0.188021693948214	88000	68300	141100	1.87	-0.0558486418765508	88000	68300	141100
YOR293W	RPS10A	13	1	together_mch	7.92	0.104052483112707	NA	224500	391200	6.07	0.111326895159492	262700	224500	391200
YOR293W	RPS10A	14	1	gfp	5.17	-0.0974573286027281	217700	126400	329500	2.14	0.0360241183997461	217700	126400	329500
YOR293W	RPS10A	14	1	mch	1.87	-0.0597460029045319	NA	442800	490900	32.43	0.231123004481097	471000	442800	490900
YOR293W	RPS10A	15	1	gfp	5.18	0.0771889576206052	138300	108300	181200	1.69	0.0330904269124033	138300	108300	181200
YOR293W	RPS10A	15	1	gfp	12.98	0.0809527167672207	785000	767700	818700	0.48	0.0344025862020119	785000	767700	818700
YOR293W	RPS10A	16	1	gfp	3.04	-0.116712460705829	453100	398300	626800	0.47	-0.0283414896085218	453100	398300	626800
YOR293W	RPS10A	16	1	mch	2.73	0.0768835908934344	NA	165100	249800	5.11	0.0867473246873423	198900	165100	249800
