reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB000001	Q0010	Q0010	0.040401515	5.8795009	0.837169
SCAB000002	Q0017	Q0017	-0.054603548	5.8430949	0.692543
SCAB000003	Q0032	Q0032	0.021863447	5.9997851	0.91304
SCAB000004	Q0045	COX1	0.038773286	8.6613646	0.894031
SCAB000007	Q0060	AI3	0.14118425	9.0654512	0.756801
SCAB000012	Q0085	ATP6	0.027267311	7.5260484	0.933932
SCAB000013	Q0092	Q0092	0.053723049	6.4694911	0.67263
SCAB000014	Q0105	COB	0.056472548	6.3409146	0.679332
SCAB000015	Q0110	BI2	0.089335432	7.4267815	0.741251
SCAB000016	Q0115	BI3	-0.20344544	6.9196511	0.26335
SCAB000017	Q0120	BI4	0.29208673	7.8930825	0.254648
SCAB000020	Q0142	Q0142	-0.00382677	6.0392255	0.98405
SCAB000021	Q0143	Q0143	-0.040143805	6.3939472	0.709595
SCAB000022	Q0144	Q0144	0.039180516	6.0002553	0.820884
SCAB000023	Q0160	SCEI	0.17990591	7.1941768	0.378666
SCAB000024	Q0182	Q0182	0.13996712	6.0827346	0.149831
SCAB000025	Q0250	COX2	0.039840265	7.0958728	0.820884
SCAB000026	Q0255	Q0255	-0.017580607	5.8358921	0.909774
SCAB000027	Q0275	COX3	0.066481895	6.7562097	0.729995
SCAB000028	Q0297	Q0297	0.02582259	6.6463477	0.901254
SCAB000029	YAL001C	TFC3	-0.045970493	10.171899	0.699584
SCAB000030	YAL002W	VPS8	-0.046621511	8.5597442	0.67263
SCAB000031	YAL003W	EFB1	-0.091803491	14.73635	0.710341
SCAB000032	YAL004W	YAL004W	-0.057083942	6.6170577	0.653851
SCAB000033	YAL005C	SSA1	-0.26331201	15.315145	0.440447
SCAB000034	YAL007C	ERP2	-0.071228716	12.097486	0.566556
SCAB000035	YAL008W	FUN14	-0.086291398	10.300198	0.555846
SCAB000036	YAL009W	SPO7	-0.010930767	9.8627871	0.96413
SCAB000037	YAL010C	MDM10	0.036608829	8.3386809	0.790145
SCAB000038	YAL011W	SWC3	-0.077584431	6.5838878	0.510485
SCAB000039	YAL012W	CYS3	-0.11341552	12.706994	0.370579
SCAB000040	YAL013W	DEP1	0.15885403	9.0490083	0.125282
SCAB000041	YAL014C	SYN8	-0.056578219	10.409625	0.640796
SCAB000042	YAL015C	NTG1	0.032016184	9.572176	0.85794
SCAB000043	YAL016W	TPD3	-0.14466564	11.891419	0.0847253
SCAB000044	YAL017W	PSK1	-0.24174288	10.156935	0.0141584
SCAB000045	YAL018C	YAL018C	0.020413303	6.0181898	0.901254
