target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	5.5	5.05899
YPR161C	1974	1775	3055	31.8891
YOL138C	4026	3827	2285	11.0626
YDR395W	2835	2636	10640	74.787
YGR129W	648	449	806	33.2597
YPR165W	630	431	10371	445.834
YPR098C	486	287	1155	74.5641
YPL015C	1074	875	2063	43.6839
YCL050C	966	767	11114	268.476
YAL069W	315	116.007	2.46564	0.393799
YMR193W	777	578	1109	35.5495
YLR031W	561	362	49	2.50794
YIL014C-A	315	116.007	215	34.3387
YGR053C	852	653	170	4.82354
YCR101C	549	350	126	6.6701
YER087C-B	249	53.2273	2117	736.913
YOR280C	801	602	1392	42.8423
YGR097W	3441	3242	3491	19.9511
YHR215W	1404	1205	528.786	8.13061
YKL025C	2040	1841	2458	24.7376
YKR011C	1062	863	1000	21.4694
YEL004W	1029	830	889	19.8451
YJL200C	2370	2171	9944	84.8655
YLL027W	753	554	2174	72.7076
YOR024W	324	125.002	1	0.148222
YLR045C	2667	2468	3783	28.4002
YDR348C	1500	1301	4301	61.2523
YPL183C	3042	2843	9334	60.8304
YGR003W	2235	2036	2349	21.3764
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	676	20.399
YGL060W	1926	1727	2194	23.5383
YLL007C	1998	1799	952	9.80473
YEL009C	846	647	40950	1172.68
YEL015W	1656	1457	5795	73.6926
YOR083W	888	689	395	10.622
YBR252W	444	245	2321	175.525
YDR329C	1326	1127	2714	44.6186
YDL202W	750	551	1300	43.7141
YHR209W	876	677	360	9.85244
YPR008W	2085	1886	5384	52.8924
YER075C	2787	2588	2651	18.9791
YDL203C	1872	1673	1771	19.6134
YBR050C	1017	818	81	1.83469
YMR197C	654	455	1401	57.0501
YDR261W-A	1317	1118	0	0
YBL049W	417	218	20	1.69982
YER054C	1647	1448	232	2.96858
YDR305C	654	455	934	38.0334
YHL019W-A	594	395	28	1.31338
YNL201C	2577	2378	5494	42.8062
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	358	3.90869
YBR206W	324	125.002	923.511	136.885
YPL171C	1203	1004	55	1.01498
YHR051W	447	248	2279	170.264
YDL116W	2181	1982	5003	46.7689
YPR124W	1221	1022	1487	26.9581
YJL023C	1044	845	744	16.3135
YGL167C	2853	2654	4733	33.0419
YDL165W	576	377	1564	76.8644
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	27	7.55616
YIL143C	2532	2333	4051	32.172
YBR292C	372	173	3	0.321296
YGR240C	2964	2765	47735	319.869
YOR094W	552	353	1119	58.7334
YDR167W	621	422	1971	86.5375
YBR063C	1215	1016	1541	28.1021
YER052C	1584	1385	12000	160.532
YGR178C	2169	1970	8816	82.9154
YPL118W	1035	836	3690	81.7806
YPR187W	468	269	7686	529.393
YJL065C	504	305	1138	69.1309
YOL141W	2088	1889	1103	10.8187
YPR086W	1038	839	4372	96.5491
YBR122C	534	335	1771	97.9498
YBR271W	1260	1061	2447	42.7315
YBR279W	1338	1139	5250	85.4015
YHR095W	495	296	15	0.938922
YMR221C	1515	1316	4877	68.6636
YDR241W	288	89.1545	100	20.782
YJL221C	1770	1571	89.972	1.06111
YER130C	1332	1133	7673	125.477
YBR155W	1158	959	3815	73.7065
YDR363W	1371	1172	1435	22.6858
YGR266W	2106	1907	2466	23.9592
YLR443W	1347	1148	1689	27.2595
YPL147W	2613	2414	690	5.29592
YAL034C	1242	1043	943	16.7516
YBR067C	633	434	5621	239.968
YCR095C	1089	890	1549	32.2472
YLR270W	1053	854	2319	50.3121
YPR084W	1371	1172	1190	18.8126
YBR184W	1572	1373	315	4.25079
YMR113W	1284	1085	1827	31.1989
YGR035C	351	152	393	47.9048
YDL222C	930	731	118	2.99085
YCL008C	1158	959	1214	23.4547
YEL065W	1887	1688	1708	18.7476
YNL335W	678	479	28.5	1.1024
YMR296C	1677	1478	7676	96.2256
YDR232W	1647	1448	4556	58.2969
YGR190C	366	167	1	0.110946
YHR116W	456	257	375	27.0351
YDR313C	861	662	747	20.907
YFR018C	1092	893	2069	42.9278
YKL007W	807	608	4568	139.204
YIL048W	3456	3257	3537	20.1209
YDL213C	678	479	5148	199.128
YDR443C	4263	4064	1602	7.30363
YNL292W	1212	1013	3385	61.9126
YKL183C-A	213	30.0561	0	0
YOR324C	1809	1610	1822	20.9678
YNL134C	1131	932	8041	159.854
YKL100C	1764	1565	4947	58.5676
YOR192C-B	5313	5114	10655.9	38.6064
YPL021W	564	365	2	0.101524
YIL146C	1590	1391	564	7.51246
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1140	13.4965
