SGD:S000005106	RPL42A	YNL162W
SGD:S000006158	SUI3	YPL237W
SGD:S000006141	RPL1A	YPL220W
SGD:S000002736	SKP1	YDR328C
SGD:S000003266	RPL26B	YGR034W
SGD:S000003259	RPS25A	YGR027C
SGD:S000003157	RPS26A	YGL189C
SGD:S000003115	RPL9A	YGL147C
SGD:S000003103	RPL1B	YGL135W
SGD:S000002579	SUP35	YDR172W
SGD:S000002559	GIR2	YDR152W
SGD:S000002524	TMA64	YDR117C
SGD:S000003071	RPL28	YGL103W
SGD:S000003044	RPL7A	YGL076C
SGD:S000003017	TIF4632	YGL049C
SGD:S000002471	RPS13	YDR064W
SGD:S000002432	RPS11A	YDR025W
SGD:S000002419	RPL4B	YDR012W
SGD:S000001871	BUD27	YFL023W
SGD:S000001802	RPL40B	YKR094C
SGD:S000002388	SSB1	YDL229W
SGD:S000002350	RPL35A	YDL191W
SGD:S000002343	RPL41A	YDL184C
SGD:S000001767	TIF1	YKR059W
SGD:S000001765	RPS21A	YKR057W
SGD:S000002295	RPL35B	YDL136W
SGD:S000002293	RPL41B	YDL133C-A
SGD:S000002288	RPP1B	YDL130W
SGD:S000001280	RPL2B	YIL018W
SGD:S000001246	RPS4B	YHR203C
SGD:S000001211	MTG2	YHR168W
SGD:S000000673	PAT1	YCR077C
SGD:S000000627	RPS14A	YCR031C
SGD:S000006736	SUP16	tS(UGA)P
SGD:S000006735	SUP17	tS(UGA)I
SGD:S000006734	SUP19	tS(UGA)E
SGD:S000001183	RPL42B	YHR141C
SGD:S000001106	SSZ1	YHR064C
SGD:S000007246	TMA7	YLR262C-A
SGD:S000001063	RPS27B	YHR021C
SGD:S000001052	RPL27A	YHR010W
SGD:S000002241	RPS16B	YDL083C
SGD:S000002240	RPL13A	YDL082W
SGD:S000002239	RPP1A	YDL081C
SGD:S000002233	RPL31A	YDL075W
SGD:S000001674	DPH2	YKL191W
SGD:S000001663	RPL17A	YKL180W
SGD:S000001649	TPK3	YKL166C
SGD:S000001639	RPS27A	YKL156W
SGD:S000002156	RPL19A	YBR084C-A
SGD:S000002135	RPL34A	YER056C-A
SGD:S000002104	RPL2A	YFR031C-A
SGD:S000001539	TMA19	YKL056C
SGD:S000000993	RPL14B	YHL001W
SGD:S000000933	RPS26B	YER131W
SGD:S000000919	RPL23B	YER117W
SGD:S000000904	RPS8B	YER102W
SGD:S000001489	RPL14A	YKL006W
SGD:S000000395	RPL21A	YBR191W
SGD:S000000385	RPS6B	YBR181C
SGD:S000000347	SUP45	YBR143C
SGD:S000006438	RPL36B	YPL249C-A
SGD:S000006437	RPL29	YFR032C-A
SGD:S000006436	RPL22B	YFL034C-A
SGD:S000005896	RPS12	YOR369C
SGD:S000005888	PRT1	YOR361C
SGD:S000005839	RPL20B	YOR312C
SGD:S000005819	RPS10A	YOR293W
SGD:S000000283	RPG1	YBR079C
SGD:S000000265	TRM7	YBR061C
SGD:S000000252	RPS11B	YBR048W
SGD:S000000235	RPL4A	YBR031W
SGD:S000006367	TIF3	YPR163C
SGD:S000005786	GCD1	YOR260W
SGD:S000006306	RPL11A	YPR102C
SGD:S000005760	RPL33B	YOR234C
SGD:S000006124	TPK2	YPL203W
SGD:S000006119	RPL7B	YPL198W
SGD:S000004926	NIP1	YMR309C
SGD:S000006064	RPL33A	YPL143W
SGD:S000006052	RPL5	YPL131W
SGD:S000006040	DBP1	YPL119C
SGD:S000005499	CDC33	YOL139C
SGD:S000006011	RPS6A	YPL090C
SGD:S000005487	RPL25	YOL127W
SGD:S000005481	RPS19A	YOL121C
SGD:S000005480	RPL18A	YOL120C
SGD:S000006002	RPS9A	YPL081W
SGD:S000006000	RPL21B	YPL079W
SGD:S000005405	PSK2	YOL045W
SGD:S000005400	RPS15	YOL040C
SGD:S000004873	TIF11	YMR260C
SGD:S000004855	RPL20A	YMR242C
SGD:S000004843	RPS10B	YMR230W
SGD:S000004807	RPL36A	YMR194W
SGD:S000005399	RPP2A	YOL039W
SGD:S000004754	TIF34	YMR146C
SGD:S000004751	RPS16A	YMR143W
SGD:S000004750	RPL13B	YMR142C
SGD:S000004728	RPL15B	YMR121C
SGD:S000005246	RPS19B	YNL302C
SGD:S000005245	RPL18B	YNL301C
SGD:S000005199	GIS2	YNL255C
SGD:S000005188	SUI1	YNL244C
SGD:S000005153	SSB2	YNL209W
SGD:S000005122	RPS3	YNL178W
SGD:S000005730	DED1	YOR204W
SGD:S000005708	RPS30B	YOR182C
SGD:S000000188	RPL32	YBL092W
SGD:S000000183	RPL23A	YBL087C
SGD:S000000168	RPS8A	YBL072C
SGD:S000000123	RPL19B	YBL027W
SGD:S000006247	RPL43A	YPR043W
SGD:S000006245	TIF5	YPR041W
SGD:S000005693	RPS28A	YOR167C
SGD:S000005622	RPS7A	YOR096W
SGD:S000005617	TMA46	YOR091W
SGD:S000000034	RBG1	YAL036C
SGD:S000000033	FUN12	YAL035W
SGD:S000000004	SSA1	YAL005C
SGD:S000001410	RPL40A	YIL148W
SGD:S000000876	RPS24A	YER074W
SGD:S000007587	KTI11	YBL071W-A
SGD:S000000827	GCD11	YER025W
SGD:S000001399	TMA108	YIL137C
SGD:S000001395	RPL16A	YIL133C
SGD:S000028521	LSO2	YGR169C-A
SGD:S000001365	DPH1	YIL103W
SGD:S000001331	RPS24B	YIL069C
SGD:S000001314	RPL34B	YIL052C
SGD:S000000780	RPL12A	YEL054C
SGD:S000000760	HYP2	YEL034W
SGD:S000001025	RPL8A	YHL033C
SGD:S000001007	RPS20	YHL015W
SGD:S000000465	TAE1	YBR261C
SGD:S000000450	RRT2	YBR246W
SGD:S000003775	TMA22	YJR014W
SGD:S000002219	RPS29B	YDL061C
SGD:S000003767	SUI2	YJR007W
SGD:S000003727	RPS14B	YJL191W
SGD:S000003726	RPS22A	YJL190C
SGD:S000003725	RPL39	YJL189W
SGD:S000003713	RPL17B	YJL177W
SGD:S000004278	RPS30A	YLR287C-A
SGD:S000004254	RPS28B	YLR264W
SGD:S000004202	TUB4	YLR212C
SGD:S000003674	TIF2	YJL138C
SGD:S000003672	RPS21B	YJL136C
SGD:S000004182	HCR1	YLR192C
SGD:S000004175	RPL37A	YLR185W
SGD:S000004162	DPH5	YLR172C
SGD:S000004157	RPS31	YLR167W
SGD:S000004133	DPH6	YLR143W
SGD:S000002999	RPL24A	YGL031C
SGD:S000002998	RPL30	YGL030W
SGD:S000003503	SLH1	YGR271W
SGD:S000002957	TMA20	YER007C-A
SGD:S000002908	RPL37B	YDR500C
SGD:S000004065	RPL10	YLR075W
SGD:S000004051	RPL22A	YLR061W
SGD:S000004038	RPS0B	YLR048W
SGD:S000004019	RPL15A	YLR029C
SGD:S000003446	RPS0A	YGR214W
SGD:S000003405	RBG2	YGR173W
SGD:S000002879	RPL27B	YDR471W
SGD:S000002858	RPS18A	YDR450W
SGD:S000002855	RPS17B	YDR447C
SGD:S000002837	TIF35	YDR429C
SGD:S000002826	RPL12B	YDR418W
SGD:S000003394	TIF4631	YGR162W
SGD:S000003380	RPL24B	YGR148C
SGD:S000002790	RPP2B	YDR382W
SGD:S000003317	RPL11B	YGR085C
SGD:S000004556	RPM2	YML091C
SGD:S000004538	RPL6A	YML073C
SGD:S000004528	RPS1B	YML063W
SGD:S000003968	RPL8B	YLL045C
SGD:S000003906	RPS4A	YJR145C
SGD:S000005040	RPS7B	YNL096C
SGD:S000005013	RPL16B	YNL069C
SGD:S000005011	RPL9B	YNL067W
SGD:S000004488	RPS18B	YML026C
