row	col	gene	rep	teck	gate	sample
A	1	BMH2	1	1	1	1
B	1	BMH2	1	1	2	2
C	1	BMH2	1	1	3	3
D	1	BMH2	1	1	4	4
E	1	BMH2	1	1	5	5
F	1	BMH2	1	1	20	6
G	1	BMH2	1	1	21	7
H	1	OLE1	2	1	1	8
A	2	OLE1	2	1	2	9
B	2	OLE1	2	1	3	10
C	2	OLE1	2	1	4	11
D	2	OLE1	2	1	5	12
E	2	CYC1	2	1	1	13
F	2	CYC1	2	1	2	14
G	2	CYC1	2	1	3	15
H	2	CYC1	2	1	4	16
A	3	CYC1	2	1	5	17
B	3	TPO1	2	1	1	18
C	3	TPO1	2	1	2	19
D	3	TPO1	2	1	3	20
E	3	TPO1	2	1	4	21
F	3	TPO1	2	1	5	22
G	3	CTS1	2	1	1	23
H	3	CTS1	2	1	2	24
A	4	CTS1	2	1	3	25
B	4	CTS1	2	1	4	26
C	4	CTS1	2	1	5	27
D	4	CTS1	2	1	20	28
E	4	CTS1	2	1	21	29
F	4	RPS10A	2	1	1	30
G	4	RPS10A	2	1	2	31
H	4	RPS10A	2	1	3	32
A	5	RPS10A	2	1	4	33
B	5	RPS10A	2	1	5	34
C	5	Empty	0	0	0	0
D	5	Empty	0	0	0	0
E	5	Empty	0	0	0	0
F	5	Empty	0	0	0	0
G	5	Empty	0	0	0	0
H	5	Empty	0	0	0	0
A	6	Empty	0	0	0	0
B	6	Empty	0	0	0	0
C	6	Empty	0	0	0	0
D	6	Empty	0	0	0	0
E	6	Empty	0	0	0	0
F	6	Empty	0	0	0	0
G	6	Empty	0	0	0	0
H	6	Empty	0	0	0	0
A	7	Empty	0	0	0	0
B	7	Empty	0	0	0	0
C	7	Empty	0	0	0	0
D	7	Empty	0	0	0	0
E	7	Empty	0	0	0	0
F	7	Empty	0	0	0	0
G	7	Empty	0	0	0	0
H	7	Empty	0	0	0	0
A	8	Empty	0	0	0	0
B	8	Empty	0	0	0	0
C	8	Empty	0	0	0	0
D	8	Empty	0	0	0	0
E	8	Empty	0	0	0	0
F	8	Empty	0	0	0	0
G	8	Empty	0	0	0	0
H	8	Empty	0	0	0	0
A	9	Empty	0	0	0	0
B	9	Empty	0	0	0	0
C	9	Empty	0	0	0	0
D	9	Empty	0	0	0	0
E	9	Empty	0	0	0	0
F	9	Empty	0	0	0	0
G	9	Empty	0	0	0	0
H	9	Empty	0	0	0	0
A	10	Empty	0	0	0	0
B	10	Empty	0	0	0	0
C	10	Empty	0	0	0	0
D	10	Empty	0	0	0	0
E	10	Empty	0	0	0	0
F	10	Empty	0	0	0	0
G	10	Empty	0	0	0	0
H	10	Empty	0	0	0	0
A	11	Empty	0	0	0	0
B	11	Empty	0	0	0	0
C	11	Empty	0	0	0	0
D	11	Empty	0	0	0	0
E	11	Empty	0	0	0	0
F	11	Empty	0	0	0	0
G	11	Empty	0	0	0	0
H	11	Empty	0	0	0	0
A	12	Empty	0	0	0	0
B	12	Empty	0	0	0	0
C	12	Empty	0	0	0	0
D	12	Empty	0	0	0	0
E	12	Empty	0	0	0	0
F	12	Empty	0	0	0	0
G	12	Empty	0	0	0	0
H	12	Empty	0	0	0	0
