strains	rep	batch	correl	r2	correlc	r2c
BMH2	2	4	0.634884486621222	0.196782912639992	0.470363361579726	0.102597109573351
OLE1	2	4	0.550226707087459	0.226425162880169	0.433079390085874	0.124644944389368
CYC1	2	4	0.399758269376598	0.297915453000245	0.360503356328925	0.246802509224282
TPO1	2	4	0.466265472911701	0.287643336400012	0.378117686775216	0.18328125651923
CTS1	2	4	0.105855640626411	0.020049991172558	0.044813400691084	0.003472536125218
GPD1	2	3	0.281511508172108	0.140260226318624	0.162348616253621	0.049814225868133
GPD1	3	3	0.269984635623794	0.134080584420862	0.15304292886358	0.046713127565946
GPD1	4	3	0.285360100278954	0.144943762553079	0.173046116232624	0.056477784200837
GPD1	5	3	0.26463015216569	0.127883224897	0.15359454035929	0.046339664056924
MTD1	2	3	0.376502375769209	0.126915302639255	0.172005417840107	0.021965920928367
UGP1	2	3	0.253687205079177	0.10440600707527	0.106360215502195	0.019188403984498
ARO8	2	3	0.422853239699283	0.199198076122979	0.251077743508473	0.060623023521152
OLE1	1	3	0.413800196264732	0.185097767693331	0.250977532270045	0.061360849460437
CYC1	1	3	0.339041391935504	0.311292217292406	0.301645802713042	0.261118019269285
TPO1	1	3	0.395959512948538	0.291688370517451	0.330468060399992	0.209431154926813
CTS1	1	3	0.052909072232293	0.006682826479568	0.013190041779481	0.000403263308018
RPS10A	1	3	0.7048272497623	0.277549928082998	0.46515614234206	0.100589925240789
GPD1	1	1	0.454562794761619	0.316796248071108	0.257123482221017	0.090910773115555
BMH2	1	1	0.600415276636262	0.323684074318356	0.330183307192031	0.083815030715115
MTD1	1	2	0.599653578503545	0.3637779052701	0.21615651872218	0.034010243587297
UGP1	1	2	0.493799286741888	0.369374956472117	0.168651217851076	0.040172857848261
ARO8	1	1	0.532008335982372	0.229358492041208	0.264548987485084	0.047019526164508
NA	1	1	0.227149583486616	0.118742531594033	0.000687887986718	1.51E-06
linked	1	5	0.886	0.569	1.105	0.485
linked	2	5	0.939	0.555	0.968	0.408
