strains	correl	r2	correlc	r2c
GPD1a	0.459219593581833	0.31038547825372	0.24118482053591	0.0780725373226301
GPD1i	0.396332720891277	0.306973019313067	0.180324264534837	0.086254550524895
TDH3a	0.544620098596189	0.432555904892257	0.343097251141778	0.151752325043745
TDH3i	0.387951487336564	0.392701476245314	0.111369627613222	0.062213152198424
BMH2a	0.590074271262061	0.316171027702646	0.312756239222573	0.0724647106563535
BMH2i	0.600220739803963	0.455458654195276	0.350138105785211	0.198167939190275
MTD1a	0.61397632953513	0.387022318543678	0.237754499068702	0.0420534857893756
MTD1i	0.5546470234967	0.498719167416785	0.173997028917826	0.0689662236401408
UGP1a	0.492561629487738	0.360919779057322	0.157308809042255	0.0335319869929674
UGP1i	0.401992813673414	0.314468508466652	-0.00592452711735181	8.8157675725315e-05
ARO8a	0.522797194047053	0.215972268457499	0.22765499214975	0.0338214611077171
ARO8i	0.600816759364467	0.425029934831188	0.293680547327937	0.1319788648423
NAi	0.22384571365023	0.12835015592563	-0.000324179032400788	4.02005485542307e-07
