GOI	rep	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	mainPV	heritability	synergy
ARO8	1	mCH	high	all	0.132901854022854	1.06E-22	0.080010443261704	2.68E-11	1.06E-22	good	similar
ARO8	1	mCH	low	all	-0.105622999585396	8.44E-15	-0.067400149064868	9.04E-09	8.44E-15	good	similar
ARO8	1	GFP	high	all	0.038849314350558	0.004232466060817	0.142851709849989	1.08E-33	1.08E-33	good	similar
ARO8	1	GFP	low	all	-0.177290708335716	3.36E-36	-0.276887683506908	6.80E-122	6.80E-122	good	similar
BMH2	1	mCH	high	all	0.104702851150001	7.64E-17	0.009430665139488	0.417367031365216	7.64E-17	good	none
BMH2	1	mCH	low	all	-0.131672171516537	4.31E-26	-0.03106549644016	0.009623279680902	4.31E-26	good	similar
BMH2	1	GFP	high	all	-0.022781847438472	0.061915077882655	0.046978600267622	6.87E-05	6.87E-05	good	none
BMH2	1	GFP	low	all	-0.080115838128877	3.20E-10	-0.186344344078847	4.46E-62	4.46E-62	good	similar
GPD1	1	mCH	high	all	0.209325381982405	1.37E-72	-0.060053537566578	3.31E-05	1.37E-72	good	inverted
GPD1	1	mCH	low	all	-0.115614837648629	1.26E-21	-0.131301020783287	6.20E-21	1.26E-21	good	similar
GPD1	1	GFP	high	all	0.063397753670869	1.36E-07	0.346443423866818	5.19E-133	5.19E-133	good	similar
GPD1	1	GFP	low	all	-0.04776586077119	9.29E-05	-0.350406136674316	7.29E-151	7.29E-151	good	similar
MTD1	1	mCH	high	all	0.08323740581427	6.36E-14	0.020653042462857	0.060076957498242	6.36E-14	good	none
MTD1	1	mCH	low	all	-0.113164221746529	1.03E-23	-0.025388218276074	0.021369932105967	1.03E-23	good	none
MTD1	1	GFP	high	all	-0.005505021101301	0.620215499292055	0.046179023012739	3.72E-05	3.72E-05	good	none
MTD1	1	GFP	low	all	0.016369807396821	0.140617400500488	-0.086172438007378	4.56E-15	4.56E-15	good	none
UGP1	1	mCH	high	all	0.072597937587917	1.12E-10	-0.047109399753551	0.000428217919091	1.12E-10	good	inverted
UGP1	1	mCH	low	all	-0.098065762992312	2.75E-18	-0.000930418847268	0.945666505227221	2.75E-18	good	none
UGP1	1	GFP	high	all	-0.017888723679091	0.113388240994639	0.276620990314295	2.21E-81	2.21E-81	good	none
UGP1	1	GFP	low	all	-0.022775986284438	0.046550822660037	-0.194934961503958	1.82E-48	1.82E-48	good	none
NA	1	mCH	high	all	0.148880098882557	2.39E-60	-0.043825343032664	0.007773433368981	2.39E-60	good	inverted
NA	1	mCH	low	all	-0.079835647179413	2.52E-14	-0.046882491345464	0.003729311849943	2.52E-14	good	similar
NA	1	GFP	high	all	0.138699076253626	1.42E-47	0.10230757134546	5.98E-10	5.98E-10	good	similar
NA	1	GFP	low	all	0.012814452651849	0.189252086110013	-0.136673940897198	3.26E-16	3.26E-16	good	none
BMH2	2	mCH	high	all	0.206599012496299	3.95E-141	0.065300200324543	1.34E-29	3.95E-141	good	similar
BMH2	2	mCH	low	all	0.023894280733425	0.003898220689747	0.009381899979454	0.106033404638413	0.003898220689747	nul	none
BMH2	2	GFP	high	all	0.181008733842302	4.77E-107	0.147211303367946	1.42E-136	1.42E-136	good	similar
BMH2	2	GFP	low	all	0.079772115280369	1.63E-22	-0.09878931153079	1.18E-68	1.18E-68	good	inverted
OLE1	2	mCH	high	all	0.097623218658324	7.35E-34	0.02514011602404	0.000364328494789	7.35E-34	good	similar
OLE1	2	mCH	low	all	-0.033879610130233	2.16E-05	0.046155230325081	5.29E-11	2.16E-05	good	inverted
OLE1	2	GFP	high	all	0.033936628023768	2.84E-05	0.049633661252732	4.83E-12	4.83E-12	good	similar
OLE1	2	GFP	low	all	-0.087380486591822	1.31E-27	-0.039498897767794	1.42E-08	1.42E-08	good	similar
CYC1	2	mCH	high	all	0.153182741210959	4.76E-61	0.256416042361996	6.65E-97	4.76E-61	good	similar
CYC1	2	mCH	low	all	-0.270485904800579	2.08E-161	-0.430166252307767	4.24E-237	2.08E-161	good	similar
CYC1	2	GFP	high	all	0.180356400502314	6.31E-95	0.556513077395066	0	0	good	similar
CYC1	2	GFP	low	all	-0.357568618755609	6.59E-283	-0.739623413919536	0	0	good	similar
TPO1	2	mCH	high	all	0.102469136897319	7.84E-34	0.044906891662595	2.76E-06	7.84E-34	good	similar
TPO1	2	mCH	low	all	-0.1091463366342	6.46E-35	-0.161989534387311	1.73E-64	6.46E-35	good	similar
