GOI	rep	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	mainPV	heritability	synergy
ARO8	1	mCH	high	all	0.122496391028026	1.17E-30	0.079266607779385	6.54E-19	0		
ARO8	1	mCH	low	all	-0.12649329661643	2.09E-32	-0.086134117586584	9.80E-24	0		
ARO8	1	GFP	high	all	0.018536401382515	0.083914220230999	0.122263374881841	7.48E-44	0		
ARO8	1	GFP	low	all	-0.193553906724632	2.45E-67	-0.294577367706101	2.64E-250	0		
BMH2	1	mCH	high	all	0.111601548988397	9.62E-31	0.023690299880766	0.00573913976033	0		
BMH2	1	mCH	low	all	-0.112635181117886	4.91E-33	-0.004170390778379	0.611369564881412	0		
BMH2	1	GFP	high	all	-0.003183785723324	0.724413728027795	0.069022169558851	3.99E-16	0		
BMH2	1	GFP	low	all	-0.082915577631071	2.50E-17	-0.18433665486153	2.02E-114	0		
GPD1	1	mCH	high	all	0.192646294485849	2.11E-106	-0.077322991640012	6.80E-14	0		
GPD1	1	mCH	low	all	-0.132944804513084	1.28E-46	-0.151563352011816	6.77E-51	0		
GPD1	1	GFP	high	all	0.079344725602613	6.22E-18	0.354482092762355	1.00E-261	0		
GPD1	1	GFP	low	all	-0.064610253601872	5.50E-12	-0.363297398473218	0	0		
MTD1	1	mCH	high	all	0.095555647821069	6.77E-31	0.039927624495868	1.67E-08	0		
MTD1	1	mCH	low	all	-0.12359985725924	1.42E-50	-0.036942676534237	1.26E-07	0		
MTD1	1	GFP	high	all	-0.001638592492041	0.840215606206136	0.055372104635467	4.19E-15	0		
MTD1	1	GFP	low	all	0.010085550421501	0.222639320974485	-0.091296165575971	5.44E-39	0		
UGP1	1	mCH	high	all	0.089556685392566	2.82E-28	-0.013450787512984	0.144393251444321	0		
UGP1	1	mCH	low	all	-0.092268245766078	6.93E-31	0.015062341160467	0.106390517491064	0		
UGP1	1	GFP	high	all	-0.014767894864907	0.068350185493072	0.288183493163732	1.36E-178	0		
UGP1	1	GFP	low	all	-0.038522402224693	1.85E-06	-0.199019358266507	5.80E-111	0		
NA	1	mCH	high	all	0.141060325183171	2.77E-114	-0.038068049472688	0.005562460192993	0		
NA	1	mCH	low	all	-0.063452652501775	1.43E-14	-0.028218652973099	0.0334157151993	0		
NA	1	GFP	high	all	0.105885610228455	9.35E-58	0.064543395075185	1.86E-06	0		
NA	1	GFP	low	all	0.028344543402874	9.94E-05	-0.113310796637173	1.80E-16	0		
BMH2	2	mCH	high	all	0.200084184039373	4.11E-158	0.060623743949861	5.54E-32	0		
BMH2	2	mCH	low	all	0.01928706409818	0.010875403769644	0.006021615460577	0.244341591613458	0		
BMH2	2	GFP	high	all	0.181094444713248	1.88E-130	0.147520648931186	8.72E-175	0		
BMH2	2	GFP	low	all	0.065733802200112	2.40E-18	-0.109038612864099	7.15E-103	0		
OLE1	2	mCH	high	all	0.111805890541596	2.47E-51	0.040287913875408	6.25E-11	0		
OLE1	2	mCH	low	all	-0.028888215293947	9.65E-05	0.051235526369618	1.09E-16	0		
OLE1	2	GFP	high	all	0.031431834128658	2.81E-05	0.046280832305165	3.00E-13	0		
OLE1	2	GFP	low	all	-0.073476640481385	2.90E-23	-0.024848621170844	4.06E-05	0		
CYC1	2	mCH	high	all	0.168443541772953	3.89E-83	0.274983078825639	3.44E-124	0		
CYC1	2	mCH	low	all	-0.263667235640197	1.70E-172	-0.421673512488232	3.16E-258	0		
CYC1	2	GFP	high	all	0.199797576458948	1.48E-134	0.580395245103184	0	0		
CYC1	2	GFP	low	all	-0.356386829958627	0	-0.738025720911767	0	0		
TPO1	2	mCH	high	all	0.118251211769887	8.48E-55	0.064762950267413	6.38E-15	0		
TPO1	2	mCH	low	all	-0.114387509384183	2.76E-45	-0.167563589272997	4.38E-90	0		
TPO1	2	GFP	high	all	0.170322271920596	2.04E-126	0.546522055678808	0	0		
TPO1	2	GFP	low	all	-0.083132583018206	1.50E-25	-0.336310538360693	0	0		
CTS1	2	mCH	high	all	0.120726871258889	8.39E-51	-0.017956807271866	0.100091907492318	0		
CTS1	2	mCH	low	all	-0.118925342262646	4.17E-43	0.036972998744572	0.000658975858074	0		
CTS1	2	GFP	high	all	0.020087999219554	0.013643256154401	-0.052166386757032	2.14E-06	0		
CTS1	2	GFP	low	all	0.026309389104847	0.000811516483834	0.031243150416327	0.004094670413757	0		
GPD1	2	mCH	high	all	0.132670151105424	1.55E-230	-0.054369417312249	4.22E-23	0		
GPD1	2	mCH	low	all	-0.148237619597011	4.15E-269	-0.038142949209321	2.71E-12	0		
GPD1	2	GFP	high	all	0.023715526968547	3.08E-09	0.291828652872119	0	0		
GPD1	2	GFP	low	all	-0.07070054284145	7.20E-65	-0.332612632001204	0	0		
GPD1	3	mCH	high	all	0.109512258699473	3.90E-82	-0.068815171437754	6.21E-18	0		
GPD1	3	mCH	low	all	-0.139100914726312	5.09E-122	-0.009641710834268	0.221276986574865	0		
GPD1	3	GFP	high	all	0.042501379895013	8.38E-14	0.284120094835463	3.29E-271	0		
GPD1	3	GFP	low	all	-0.056090826206721	1.25E-21	-0.314905731798841	0	0		
GPD1	4	mCH	high	all	0.123131560864301	2.23E-130	-0.024232563622435	0.000440378729297	0		
GPD1	4	mCH	low	all	-0.134167890986836	1.16E-142	-0.02197806330471	0.001183407440802	0		
GPD1	4	GFP	high	all	0.072267924700158	4.70E-48	0.320173979305895	0	0		
GPD1	4	GFP	low	all	-0.033284414324874	1.48E-10	-0.308744123980368	0	0		
GPD1	5	mCH	high	all	0.105281398276325	5.33E-74	-0.070944543728445	2.46E-19	0		
GPD1	5	mCH	low	all	-0.132954767659782	1.69E-110	-0.010050024883467	0.205642719626719	0		
GPD1	5	GFP	high	all	0.035564320810079	5.19E-10	0.281285873963111	7.20E-260	0		
GPD1	5	GFP	low	all	-0.039263131398339	3.59E-11	-0.367708739393922	0	0		
MTD1	2	mCH	high	all	0.103398307371152	2.38E-58	-0.03905117756972	8.91E-12	0		
MTD1	2	mCH	low	all	-0.120648565499812	1.06E-74	0.000622538962051	0.914022046397733	0		
MTD1	2	GFP	high	all	0.083607893530233	2.82E-38	0.001163372668867	0.838515449156912	0		
MTD1	2	GFP	low	all	-0.132200313545537	7.47E-87	-0.038985566199907	2.10E-11	0		
UGP1	2	mCH	high	all	0.069839310048002	5.16E-31	-0.042593178953238	1.55E-08	0		
UGP1	2	mCH	low	all	-0.097669767829848	2.57E-53	-0.019096535283431	0.015053627335882	0		
UGP1	2	GFP	high	all	-0.019134988994764	0.001465317628223	0.302476833172079	9.12E-296	0		
UGP1	2	GFP	low	all	-0.011143497741982	0.071843802031755	-0.257951716928846	7.28E-282	0		
ARO8	2	mCH	high	all	0.054867900356653	1.58E-18	0.033868216317909	2.77E-08	0		
ARO8	2	mCH	low	all	-0.067729957238219	6.76E-27	-0.037781386956338	2.95E-10	0		
ARO8	2	GFP	high	all	0.058659133070657	2.27E-21	0.144546681443485	5.54E-122	0		
ARO8	2	GFP	low	all	-0.11128129921229	1.85E-69	-0.172067890515723	1.80E-183	0		
OLE1	1	mCH	high	all	0.073170346300585	8.07E-39	0.001111989946848	0.845238959975219	0		
OLE1	1	mCH	low	all	-0.045798435959919	1.00E-15	-0.047607241324289	6.67E-17	0		
OLE1	1	GFP	high	all	0.09541140736728	3.45E-64	0.061307791006595	2.83E-27	0		
OLE1	1	GFP	low	all	-0.067226948077698	1.81E-32	-0.131928129150664	3.16E-122	0		
CYC1	1	mCH	high	all	0.176144233947803	2.18E-131	0.316141900402566	3.51E-140	0		
CYC1	1	mCH	low	all	-0.25379784456678	7.30E-228	-0.433473635029391	1.16E-265	0		
CYC1	1	GFP	high	all	0.246547004476446	5.07E-292	0.71898948033581	0	0		
CYC1	1	GFP	low	all	-0.290604984635567	0	-0.712570342823025	0	0		
TPO1	1	mCH	high	all	0.094919972050973	6.43E-48	0.113166565760234	7.46E-38	0		
TPO1	1	mCH	low	all	-0.11630676491528	5.08E-65	-0.218162600128081	2.94E-144	0		
TPO1	1	GFP	high	all	0.171058256139148	7.13E-170	0.587875372769057	0	0		
TPO1	1	GFP	low	all	-0.133469497805693	1.25E-85	-0.430861589137575	0	0		
CTS1	1	mCH	high	all	0.149305902374508	7.01E-62	-0.052133362613083	0.000417177325173	0		
CTS1	1	mCH	low	all	-0.16329242880143	6.67E-66	0.024489733632802	0.070249056415088	0		
CTS1	1	GFP	high	all	0.040031761716557	2.24E-05	-0.013220217284638	0.358504245732631	0		
CTS1	1	GFP	low	all	-0.03958785753023	1.11E-05	-0.068628714851198	2.32E-06	0		
RPS10A	1	mCH	high	all	0.058378884771713	7.99E-23	-0.016719473548337	3.20E-05	0		
RPS10A	1	mCH	low	all	-0.068100514938118	1.17E-29	0.00484340619974	0.228343301924802	0		
RPS10A	1	GFP	high	all	0.017732852817763	0.002864159689461	0.021015964085242	1.48E-07	0		
RPS10A	1	GFP	low	all	-0.025412005293185	2.24E-05	-0.079522028471597	3.78E-82	0		
