GOI	rep	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
ARO8	1	mCH	high	all	0.248989687644456	2.60E-111	0.165400725365968	7.45E-76	0		
ARO8	1	GFP	high	all	0.212090308107147	1.13E-74	0.416840742587942	0	0		
BMH2	1	mCH	high	all	0.224236730106283	3.05E-111	0.027860690659145	0.001159207838799	0		
BMH2	1	GFP	high	all	0.079731791907747	1.90E-16	0.253358824420381	7.91E-197	0		
GPD1	1	mCH	high	all	0.325591098998933	0	0.074240360371805	1.92E-13	0		
GPD1	1	GFP	high	all	0.143954979204485	3.51E-58	0.717779491235573	0	0		
MTD1	1	mCH	high	all	0.219155505080309	1.25E-153	0.076870301030105	5.48E-28	0		
MTD1	1	GFP	high	all	-0.011724142913542	0.147595812840314	0.146668270211437	3.98E-97	0		
TDH3	1	mCH	high	all	0.2771389026158	3.78E-172	0.056558387850927	4.94E-09	0		
TDH3	1	GFP	high	all	0.120774774715059	1.29E-48	0.18589669262119	1.22E-86	0		
UGP1	1	mCH	high	all	0.181824931158644	1.24E-115	-0.02851312867345	0.001393076356983	0		
UGP1	1	GFP	high	all	0.023754507359787	0.002897561513748	0.487202851430239	0	0		
NA	1	mCH	high	all	0.204512977684946	1.78E-144	-0.00984939649959	0.464020303193963	0		
NA	1	GFP	high	all	0.077541066825582	8.89E-27	0.177854191712358	4.35E-38	0		
BMH2	2	mCH	high	all	0.180797119941194	7.86E-140	0.054602128489284	1.51E-27	0		
BMH2	2	GFP	high	all	0.115360642513136	1.05E-59	0.256559261795285	0	0		
OLE1	2	mCH	high	all	0.140694105835543	1.80E-79	-0.010947612494211	0.068655892542621	0		
OLE1	2	GFP	high	all	0.104908474610043	3.31E-44	0.071129453476009	1.79E-31	0		
CYC1	2	mCH	high	all	0.43211077741315	0	0.696656591313872	0	0		
CYC1	2	GFP	high	all	0.556184406417575	0	1.31842096601495	0	0		
TPO1	2	mCH	high	all	0.232638721154069	6.55E-181	0.23232653954041	2.16E-168	0		
TPO1	2	GFP	high	all	0.253454854938802	8.46E-248	0.882832594039501	0	0		
CTS1	2	mCH	high	all	0.239652213521535	3.57E-170	-0.054929806016438	6.40E-07	0		
CTS1	2	GFP	high	all	-0.006221389885292	0.428159144478918	-0.08340953717336	7.39E-14	0		
GPD1	2	mCH	high	all	0.280907770702435	0	-0.016226468102929	0.002975901911225	0		
GPD1	2	GFP	high	all	0.094416069809998	6.06E-120	0.624441284873322	0	0		
GPD1	3	mCH	high	all	0.248613173425785	0	-0.059173460603486	5.02E-14	0		
GPD1	3	GFP	high	all	0.098592206101734	1.41E-66	0.599025826634303	0	0		
GPD1	4	mCH	high	all	0.257299451851137	0	-0.002254500317725	0.774810918557251	0		
GPD1	4	GFP	high	all	0.105552339025032	4.08E-73	0.628918103286263	0	0		
GPD1	5	mCH	high	all	0.238236165936107	0	-0.060894518844978	3.40E-15	0		
GPD1	5	GFP	high	all	0.074827452208418	2.52E-37	0.648994613357033	0	0		
MTD1	2	mCH	high	all	0.224046872870964	5.02E-255	-0.03967371653177	5.55E-12	0		
MTD1	2	GFP	high	all	0.21580820707577	1.05E-227	0.040148938868774	4.33E-12	0		
UGP1	2	mCH	high	all	0.167509077877849	1.22E-155	-0.023496643669807	0.002110622430448	0		
UGP1	2	GFP	high	all	-0.007991491252781	0.189093506043615	0.560428550100926	0	0		
ARO8	2	mCH	high	all	0.122597857594872	6.54E-83	0.071649603274246	4.66E-32	0		
ARO8	2	GFP	high	all	0.169940432282947	1.49E-159	0.316614571959208	0	0		
OLE1	1	mCH	high	all	0.118968782260504	1.76E-96	0.048719231271137	3.86E-18	0		
OLE1	1	GFP	high	all	0.162638355444978	1.58E-178	0.193235920157258	3.11E-267	0		
CYC1	1	mCH	high	all	0.429942078514583	0	0.749615535431957	0	0		
CYC1	1	GFP	high	all	0.537151989112013	0	1.43155982315883	0	0		
TPO1	1	mCH	high	all	0.211226736966253	3.22E-212	0.331329165888315	0	0		
TPO1	1	GFP	high	all	0.30452775394484	0	1.01873696190663	0	0		
CTS1	1	mCH	high	all	0.312598331175939	7.81E-227	-0.076623096245885	2.39E-07	0		
CTS1	1	GFP	high	all	0.079619619246787	5.02E-17	0.05540849756656	0.000317654227107	0		
RPS10A	1	mCH	high	all	0.126479399709831	2.52E-97	-0.021562879748077	1.07E-07	0		
RPS10A	1	GFP	high	all	0.043144858110948	6.84E-13	0.100537992556839	1.51E-128	0		
