GOI	CRISPR	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
ARO8a	a	mCH	high	all	0.123358428123815	1.44868619827141e-21	0.076900413958441	8.69150367894146e-11	1.44868619827141e-21	good	similar
ARO8a	a	mCH	low	all	-0.10626265940687	3.30648870184496e-16	-0.0716659524084715	6.27993120409227e-10	3.30648870184496e-16	good	similar
ARO8a	a	GFP	high	all	0.0411625700192637	0.00154500553057337	0.146596813071142	7.20593763307472e-36	7.20593763307472e-36	good	similar
ARO8a	a	GFP	low	all	-0.165331120971191	4.46741726772438e-35	-0.269870955551293	3.59654265638775e-119	3.59654265638775e-119	good	similar
ARO8a	a	mCH	high	fix	0.196342798270136	9.47796042756169e-45	0.0445342330383323	0.000178295859490171	9.47796042756169e-45	good	similar
ARO8a	a	mCH	low	fix	-0.0116676041788093	0.411683282014011	0.0533332185047595	5.47941178738196e-06	0.411683282014011	nul	inverted
ARO8a	a	GFP	high	fix	0.071453889498005	5.38566594211714e-08	0.149576005880327	8.71547298549813e-37	8.71547298549813e-37	good	similar
ARO8a	a	GFP	low	fix	-0.0146618279511106	0.264780712030672	-0.138663236258147	2.6147330859357e-32	2.6147330859357e-32	good	none
ARO8i	i	mCH	high	all	0.0558446318730041	2.70584527546653e-08	-0.0224166573920765	0.0412006518666422	2.70584527546653e-08	good	none
ARO8i	i	mCH	low	all	-0.0862210560582	1.88447310613896e-16	-0.0333930937838485	0.00262807500897756	1.88447310613896e-16	good	similar
ARO8i	i	GFP	high	all	0.0502639712100947	8.91615283557767e-07	0.131207137053813	4.05343947540368e-33	4.05343947540368e-33	good	similar
ARO8i	i	GFP	low	all	-0.0637678111413074	1.84338003134518e-09	-0.235774042504064	3.46530708962362e-101	3.46530708962362e-101	good	similar
ARO8i	i	mCH	high	fix	0.0657824940143676	1.1834191059595e-10	-0.0851878380425291	3.95514637802615e-16	1.1834191059595e-10	good	inverted
ARO8i	i	mCH	low	fix	-0.0351517250083191	0.000296921943635391	-0.00632091765695098	0.548644284712682	0.000296921943635391	good	none
ARO8i	i	GFP	high	fix	9.6276434867093e-05	0.992076395200123	0.119886350402084	7.44755905895225e-28	7.44755905895225e-28	good	none
ARO8i	i	GFP	low	fix	-0.0693268405430008	1.29206848176981e-11	-0.24384192880288	1.8207094834048e-111	1.8207094834048e-111	good	similar
BMH2a	a	mCH	high	all	0.0884080988587597	3.08208201728608e-13	0.00465713772085152	0.678751296055444	3.08208201728608e-13	good	none
BMH2a	a	mCH	low	all	-0.138649778544573	5.62095573239627e-31	-0.0365220365959349	0.0016864312356443	5.62095573239627e-31	good	similar
BMH2a	a	GFP	high	all	-0.0195897141154262	0.0948322893132115	0.0522951915291419	4.16140990845585e-06	4.16140990845585e-06	good	none
BMH2a	a	GFP	low	all	-0.0822772251582542	1.49546893396578e-11	-0.183973327071547	2.79962341928357e-65	2.79962341928357e-65	good	similar
BMH2a	a	mCH	high	fix	0.0568459758409938	1.70939036380199e-06	-0.144915904818493	6.31575604271528e-36	1.70939036380199e-06	good	inverted
BMH2a	a	mCH	low	fix	-0.115838132700905	3.65159268256946e-22	-0.108926505433681	3.93784163027093e-21	3.65159268256946e-22	good	similar
BMH2a	a	GFP	high	fix	-0.0553363283260966	6.09313488192825e-06	0.16904201869186	9.43327196050419e-49	9.43327196050419e-49	good	inverted
BMH2a	a	GFP	low	fix	-0.0242714616823347	0.0538928268277253	-0.112137903694993	2.86893231632742e-22	2.86893231632742e-22	good	none
BMH2i	i	mCH	high	all	0.119881732364211	5.81672402187634e-32	0.106391899692998	1.34620486790776e-19	5.81672402187634e-32	good	similar
BMH2i	i	mCH	low	all	-0.047130596693334	1.03270911704462e-05	0.0629282839564169	1.78268585505432e-07	1.03270911704462e-05	good	inverted
BMH2i	i	GFP	high	all	0.0182384167693019	0.0989118042520686	0.115022303403876	3.34664976733591e-21	3.34664976733591e-21	good	none
BMH2i	i	GFP	low	all	0.0698326494328647	8.1332312662151e-12	-0.0361733132216226	0.00202302223841393	0.00202302223841393	average	inverted
BMH2i	i	mCH	high	fix	0.0461457133404615	4.33150073414414e-06	-0.0044143312254068	0.693282725412739	4.33150073414414e-06	good	none
BMH2i	i	mCH	low	fix	-0.0603847988615343	4.71303289441355e-09	0.0083561975599924	0.461147327853753	4.71303289441355e-09	good	none
BMH2i	i	GFP	high	fix	0.0399715260205706	7.32933468229275e-05	0.0993579751649918	3.89392100018555e-18	3.89392100018555e-18	good	similar
BMH2i	i	GFP	low	fix	0.0493504243928093	1.48095346746424e-06	-0.0465416706326653	4.61280261995876e-05	4.61280261995876e-05	good	inverted
GPD1a	a	mCH	high	all	0.208573869631009	7.88253757131696e-79	-0.0524485006664559	0.000223361772851669	7.88253757131696e-79	good	inverted
GPD1a	a	mCH	low	all	-0.106889560330854	2.12355163370484e-20	-0.116052107267137	1.86650209934357e-17	2.12355163370484e-20	good	similar
GPD1a	a	GFP	high	all	0.0802972728837004	2.69920770952673e-12	0.370807303381788	8.25896726928107e-159	8.25896726928107e-159	good	similar
GPD1a	a	GFP	low	all	-0.03630713389986	0.00178542630900144	-0.331953894796147	1.32770202139789e-141	1.32770202139789e-141	good	similar
GPD1a	a	mCH	high	fix	0.0735122347981951	2.27569612205209e-11	-0.209103607976546	1.38870824388774e-66	2.27569612205209e-11	good	inverted
GPD1a	a	mCH	low	fix	-0.127646839644773	2.34804988840036e-30	0.125241960386285	9.70698412180875e-21	2.34804988840036e-30	good	inverted
GPD1a	a	GFP	high	fix	-0.036363923055692	0.00174364870870131	0.325500805463232	4.70698404011771e-131	4.70698404011771e-131	good	inverted
GPD1a	a	GFP	low	fix	0.0386408642251981	0.000610761722219611	-0.21475302668629	3.24463508384952e-54	3.24463508384952e-54	good	inverted
GPD1i	i	mCH	high	all	0.0569304352605116	2.95132484099809e-09	-0.00516453278793527	0.702559879380666	2.95132484099809e-09	good	none
GPD1i	i	mCH	low	all	-0.139775957914281	6.0014016116517e-42	-0.030914964220818	0.0253772902033075	6.0014016116517e-42	good	none
GPD1i	i	GFP	high	all	-0.0762746074281164	1.84625303792581e-14	0.366996536105429	4.35343623940446e-161	4.35343623940446e-161	good	inverted
GPD1i	i	GFP	low	all	-0.00897562525385887	0.35692020544222	-0.30964596497865	1.75259717851682e-115	1.75259717851682e-115	good	none
GPD1i	i	mCH	high	fix	0.0468034291347692	1.84623909641207e-06	-0.13837039548765	3.85003075373091e-25	1.84623909641207e-06	good	inverted
GPD1i	i	mCH	low	fix	-0.121028196480772	2.76882978388829e-34	0.104685534956269	2.38168544223089e-14	2.76882978388829e-34	good	inverted
GPD1i	i	GFP	high	fix	-0.0883719716829106	4.48915126135781e-18	0.350162617472252	1.02469644703544e-143	1.02469644703544e-143	good	inverted
GPD1i	i	GFP	low	fix	-0.0377252028608801	0.000137766163571794	-0.244327260987401	1.01815961840268e-72	1.01815961840268e-72	good	similar
