GOI	chanel	pop	atlchanel	mCHeffect	mCHpval	GFPeffect	GFPpval	finalPV	heritability	synergy
BMH2_1	mCH	high	all	0.200084184039373	4.10620709077271e-158	0.0606237439498614	5.53906384042943e-32	0		
BMH2_1	mCH	low	all	0.0192870640981795	0.0108754037696444	0.00602161546057722	0.244341591613458	0		
BMH2_1	GFP	high	all	0.181094444713248	1.88451286300064e-130	0.147520648931186	8.71607594976023e-175	0		
BMH2_1	GFP	low	all	0.0657338022001124	2.40020088697742e-18	-0.109038612864099	7.15337086325316e-103	0		
OLE1_2	mCH	high	all	0.111805890541596	2.47085296095942e-51	0.0402879138754075	6.2495464859527e-11	0		
OLE1_2	mCH	low	all	-0.0288882152939465	9.65200580142966e-05	0.0512355263696183	1.08627857616332e-16	0		
OLE1_2	GFP	high	all	0.0314318341286581	2.81322382237055e-05	0.0462808323051647	3.00005074156877e-13	0		
OLE1_2	GFP	low	all	-0.0734766404813847	2.90039086203255e-23	-0.0248486211708441	4.05679679934598e-05	0		
CYC1_2	mCH	high	all	0.168443541772953	3.88933081656881e-83	0.274983078825639	3.44449579246334e-124	0		
CYC1_2	mCH	low	all	-0.263667235640197	1.70037255902517e-172	-0.421673512488232	3.15873880492764e-258	0		
CYC1_2	GFP	high	all	0.199797576458948	1.48068427785809e-134	0.580395245103184	0	0		
CYC1_2	GFP	low	all	-0.356386829958627	4.81339997594192e-314	-0.738025720911767	0	0		
TPO1_2	mCH	high	all	0.118251211769887	8.47548934704172e-55	0.0647629502674132	6.38317682628215e-15	0		
TPO1_2	mCH	low	all	-0.114387509384183	2.76470389233211e-45	-0.167563589272997	4.37816483189114e-90	0		
TPO1_2	GFP	high	all	0.170322271920596	2.03855677210444e-126	0.546522055678808	0	0		
TPO1_2	GFP	low	all	-0.0831325830182061	1.50159437109378e-25	-0.336310538360693	0	0		
CTS1_2	mCH	high	all	0.120726871258889	8.38775370513097e-51	-0.0179568072718661	0.100091907492318	0		
CTS1_2	mCH	low	all	-0.118925342262646	4.17344206840401e-43	0.0369729987445719	0.000658975858074398	0		
CTS1_2	GFP	high	all	0.0200879992195544	0.0136432561544013	-0.0521663867570323	2.14313788538736e-06	0		
CTS1_2	GFP	low	all	0.0263093891048465	0.000811516483833541	0.0312431504163273	0.00409467041375698	0		
RPS10A_2	mCH	high	all	0.0927342688121593	2.82708712057874e-43	-0.0282814362930583	6.35663260443523e-08	0		
RPS10A_2	mCH	low	all	-0.170325038329565	3.942467893882e-124	-0.0146447736686532	0.00425447438629663	0		
RPS10A_2	GFP	high	all	-0.0126339902924331	0.0564050112318746	0.093193216447828	1.55607845163075e-84	0		
RPS10A_2	GFP	low	all	-0.136028893590195	1.21472667921859e-69	-0.263626736811732	0	0		
