Well	Primer	type	RNAsample	Cq	DNAcons
A03	4	noRT	1	NaN	NaN
A06	3	noRT	1	36.1957695460783	NaN
A09	2	noRT	1	NaN	NaN
A12	1	noRT	1	39.5674748275404	NaN
B03	4	noRT	2	NaN	NaN
B06	3	noRT	2	34.7878243132523	NaN
B09	2	noRT	2	35.2141161475283	NaN
B12	1	noRT	2	29.9916261688733	NaN
C03	4	noRT	3	NaN	NaN
C06	3	noRT	3	NaN	NaN
C09	2	noRT	3	NaN	NaN
C12	1	noRT	3	29.2759673775401	NaN
D03	4	noRT	7	NaN	NaN
D06	3	noRT	7	33.7034558329944	NaN
D09	2	noRT	7	34.2013151198212	NaN
D12	1	noRT	7	28.8631864705257	NaN
E03	4	noRT	8	NaN	NaN
E06	3	noRT	8	36.8546824723017	NaN
E09	2	noRT	8	37.9669911335465	NaN
E12	1	noRT	8	31.7148521226017	NaN
A01	4	RT	1	NaN	NaN
A02	4	RT	1	NaN	NaN
A04	3	RT	1	18.384490499918	NaN
A05	3	RT	1	18.5926356905359	NaN
A07	2	RT	1	NaN	NaN
A08	2	RT	1	NaN	NaN
A10	1	RT	1	35.8537212840345	NaN
A11	1	RT	1	36.0746961559694	NaN
B01	4	RT	2	37.9116714864922	NaN
B02	4	RT	2	38.1588222127416	NaN
B04	3	RT	2	26.9970743443292	NaN
B05	3	RT	2	27.1775259790073	NaN
B07	2	RT	2	34.2395954765995	NaN
B08	2	RT	2	34.2945838580499	NaN
B10	1	RT	2	13.7939833441883	NaN
B11	1	RT	2	13.8187045806925	NaN
C01	4	RT	3	NaN	NaN
C02	4	RT	3	NaN	NaN
C04	3	RT	3	NaN	NaN
C05	3	RT	3	NaN	NaN
C07	2	RT	3	NaN	NaN
C08	2	RT	3	NaN	NaN
C10	1	RT	3	22.1158722533991	NaN
C11	1	RT	3	22.1191511156272	NaN
D01	4	RT	7	33.2848461163254	NaN
D02	4	RT	7	33.7993456818479	NaN
D04	3	RT	7	24.9411074204281	NaN
D05	3	RT	7	25.0954959652618	NaN
D07	2	RT	7	34.0438563292283	NaN
D08	2	RT	7	34.21508315693	NaN
D10	1	RT	7	21.5009534667226	NaN
D11	1	RT	7	21.4396217651761	NaN
E01	4	RT	8	32.308558401686	NaN
E02	4	RT	8	32.1667934789213	NaN
E04	3	RT	8	21.1646231334586	NaN
E05	3	RT	8	21.14524832376	NaN
E07	2	RT	8	35.9211858784665	NaN
E08	2	RT	8	36.1710891212987	NaN
E10	1	RT	8	19.2179485658973	NaN
E11	1	RT	8	19.3342479322888	NaN
F01	4	DNA	9	25.0549770748696	4
F02	4	DNA	9	25.40042073147	4
F03	4	DNA	9	25.3585332365938	4
G01	4	DNA	10	26.4930691155028	2
G02	4	DNA	10	27.0762206924491	2
G03	4	DNA	10	27.0216539086748	2
H01	4	DNA	11	27.1793306998788	1
H02	4	DNA	11	27.2663847150255	1
H03	4	DNA	11	28.0916355403286	1
F04	3	DNA	9	20.4857894154236	4
F05	3	DNA	9	20.7935275059837	4
F06	3	DNA	9	20.7121607833656	4
G04	3	DNA	10	21.7415614143102	2
G05	3	DNA	10	21.7990141725877	2
G06	3	DNA	10	21.8735391089344	2
H04	3	DNA	11	23.0265242332432	1
H05	3	DNA	11	23.0689657299811	1
H06	3	DNA	11	23.2563921617746	1
F07	2	DNA	9	19.9312156178469	4
F08	2	DNA	9	19.8583591156129	4
F09	2	DNA	9	19.9608224462604	4
G07	2	DNA	10	20.9645201801277	2
G08	2	DNA	10	20.9941113913087	2
G09	2	DNA	10	20.9673246597373	2
H07	2	DNA	11	22.4920478367596	1
H08	2	DNA	11	22.6599050548336	1
H09	2	DNA	11	22.3120727472325	1
F10	1	DNA	9	17.068490362399	4
F11	1	DNA	9	17.1986192468806	4
F12	1	DNA	9	17.2707560878653	4
G10	1	DNA	10	18.0307232923659	2
G11	1	DNA	10	18.0540828070081	2
G12	1	DNA	10	18.0949953688636	2
H10	1	DNA	11	19.4300181700616	1
H11	1	DNA	11	19.6422899145348	1
H12	1	DNA	11	19.5706285400532	1
