orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	7	391900	5.335	345200	445600	0.0920120552668315	0.0337559250417012	1.28	specific	1
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	8	176350	13.145	153750	223850	-0.141783112306394	-0.0956919486701351	6.34	together	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	10	181550	8.3375	110950	214750	0.117909837302116	0.109503052557663	8.3	together	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	11	219000	3.435	100200	289800	-0.0721488762418634	-0.046421438663926	2.145	specific	1
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	13	136900	37.8925	119750	162000	0.250960492636517	-0.0462039786501799	1.825	specific	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	14	200700	29.745	173850	235250	-0.23095385535363	-0.0382255509298771	0.635	specific	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	gfp	15	742300	5.27	691500	820700	0.0976650887309083	-0.0491211253563099	2.085	specific	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	mch	2	570950	8.5875	528650	631050	-0.130762441722662	0.0115998913233565	0.1375	specific	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	mch	8	112800	10.105	76000	142100	-0.111805607881535	-0.0820694064326351	6.2	together	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	mch	10	133300	11.5825	99300	222150	0.154143739898669	0.118786244801796	8.5425	together	2
YKR080W	MTD1	a	0	1	180529	MTD1_a_0_1	mch	14	466750	38.7325	442600	494250	0.264791553782931	-0.0544164090471851	3.0175	oposite	2
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	7	530100	5.325	371700	585700	0.074370499333516	0.0170330856987762	0.61	specific	1
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	gfp	13	885600	3.41	815500	922700	0.0748345550345995	0.0250075131145734	1.065	specific	1
YKR080W	MTD1	a	1	1	190201	MTD1_a_1_1	mch	12	693300	3.445	640600	740800	-0.073938972889194	-0.0179667805595199	0.21	specific	1
