orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	1	156100	4.61	93400	207800	-0.0881829472398891	0.00593959840425484	0.4	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	2	134800	14.51	114500	154500	0.174687129633303	0.110823822629959	7.63	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	2	430000	3.17	372300	541000	-0.0808517620965383	-0.0292418028972495	1.71	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	3	131600	3.26	77400	184200	0.0640574356723425	-0.00484344396516867	0.41	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	171200	5.94	140400	215700	-0.111997784552986	-0.0730474410856906	3.87	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	691900	7.29	634800	763800	0.122261712852096	-0.0296749332840267	1.15	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	998800	3.91	945800	1055300	0.0790009861098818	0.00256414583454234	0.46	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	1374000	4.5	1332700	1430900	0.0932665353838835	-0.0308753811917035	0.71	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	5	397600	10.18	345600	445500	-0.124581319847954	-0.0532048066643045	1.92	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	7	379600	3.07	301900	425100	0.0978553949310588	0.0476924261367498	1.42	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	8	439500	11.16	398300	469900	-0.125370898694304	-0.0228101044753541	0.45	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	10	157500	11.42	123300	216500	-0.129963859092003	0.0372845423889692	0.48	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	11	222300	31.6	201300	278700	-0.213079422291021	-0.0462106242155839	3.01	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	12	326300	3.25	248100	387100	-0.0773547299291116	0.00638850335545516	0.4	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	12	842500	3.33	711000	1030600	-0.080673824051745	-0.010500237532963	0.61	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	22500	5.21	0	65900	-0.152834220513299	-0.0864352785080273	4.63	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	250800	16.25	224000	270600	0.179972978030762	0.0471524535058135	1.29	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	743100	5.62	669200	872700	0.0799410036074065	0.0255636497149591	0.52	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	14	165700	127.99	155200	176800	-0.505274724339746	-0.084204920392643	3.37	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	14	476400	11.39	454100	588100	0.160856664016217	0.30850945857528	48.73	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	15	164700	3.2	124300	233300	0.0958545807380354	-0.0304167707023572	0.52	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	15	700500	21.81	685200	730900	0.190659954645299	0.00913103841262991	0.58	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	16	176400	5.24	121700	365600	0.0973932772088914	0.0376116988928217	1.41	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	2	132700	7.67	86400	166900	0.110725079031919	0.175897629470104	14.47	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	2	600700	9.15	556000	632400	-0.115480586050899	0.0109432107821499	0.47	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	4	96100	5.56	0	190000	-0.0784902134460554	-0.0358796333469372	2.2	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	5	350800	3.49	235400	427300	-0.0602863821239908	-0.106761816043843	8.49	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	8	114100	9.24	84700	148300	-0.154153908029898	0.0106633595180951	0.45	specific
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	11	322600	6.42	281900	455600	-0.096467561372799	-0.17110545825149	18.78	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	13	67000	9.46	46600	84000	-0.12543734514847	-0.0858026412375267	3.09	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	14	108300	4.71	41000	230800	-0.0826058625495176	-0.418935940925146	84.9	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	14	460700	49.74	448500	482200	0.314935475211447	0.161572314571642	10.64	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	15	572900	9.89	516700	592200	0.117240754747489	0.0844459328194077	7.2	together
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	16	240500	3.72	182200	316000	0.07925540646415	0.0666839279808378	4.03	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	1	130700	5.66	98200	207800	-0.123504482988684	0.0129579985506441	0.41	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	4	614900	4.44	474800	722700	0.0818448314042131	0.0278057602229808	0.79	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	4	865100	3.6	771400	1048200	0.0609495656234798	-0.00596349701186449	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	5	372400	7.96	340300	447000	-0.101175592062456	-0.0540780102628352	1.62	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	8	431700	5.19	365200	483500	-0.0791228561432948	-0.0323284616443647	0.67	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	9	189200	3.77	103800	244300	-0.0796169660532725	-0.0411526456557931	0.6	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	11	248200	18.72	181100	276000	-0.182920746008922	-0.0552837558570524	2.84	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	12	627700	3.17	560400	710000	0.0679145247663652	-0.028372576121751	0.41	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	42300	4.37	0	92800	-0.0814746522592512	-0.073655249056555	3.82	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	419900	5.12	381900	486700	0.103960555639138	0.0348563292528665	1.32	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	678400	9.71	646000	716900	0.124929798865294	0.031451831505339	0.78	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	14	158600	43.69	141800	178700	-0.300644859267094	0.00616919892078555	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	14	459800	18.71	443900	486800	0.203422599032296	0.26664955283856	43.43	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	15	131300	4.66	97500	216400	0.0887792097417484	0.0318858435252803	0.94	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	15	707200	4.68	633900	856000	0.105742391681942	-0.0544004262739728	1.12	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	16	281900	3.16	69800	391900	0.0737884228140023	0.0450979782209167	1.46	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	2	101800	5.86	31900	157400	0.111255645146173	0.0404550446216372	0.99	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	2	628900	3.06	506400	718700	-0.079326142941319	-0.00493822841687303	0.4	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	4	228300	3.13	0	285400	-0.0545436879929062	-0.0466471965340904	1.24	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	8	92300	7.14	54100	126800	-0.149010631106882	-0.0268934501932198	0.85	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	10	160700	3.21	0	589200	0.0630873303900134	-0.0744914478915728	1.98	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	11	259000	3.02	80800	513700	-0.0566378921879282	-0.176780388217574	17.96	together
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	13	89400	5.53	35500	150200	-0.103926612525232	-0.0557204978298687	2.66	specific
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	mch	14	463600	43.72	452400	478300	0.265523968387472	0.203233378067653	18.61	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	1	65300	4.5	0	143800	-0.0818885724302331	-0.00899532188047775	0.52	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	2	508600	6.42	442900	546000	-0.155676833579559	0.0116833404955344	0.4	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	214500	5.04	114800	282200	-0.0849132806363189	-0.0298599369208715	0.46	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	692000	5.17	625400	924900	0.0958842071268919	-0.0236669668153142	0.53	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	4	1234900	5.73	1066500	1374700	0.082572592382264	-0.0244771451809844	0.97	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	8	438400	12.72	329000	459000	-0.149206336403263	0.0157402535114434	0.53	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	10	265200	5.77	98900	351200	-0.0872615530849662	0.122725028577007	11.21	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	11	175100	24.95	153800	223800	-0.219341290331193	0.0213168435997814	0.71	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	12	647000	6.02	591300	706800	0.116235845452108	-0.059184714204537	2.49	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	13	317100	31.97	294600	347500	0.233096248738982	0.214654193216704	15.37	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	14	472100	58.78	455700	491400	0.391960158496052	0.0979282844937407	4.33	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	gfp	15	646800	26.38	608400	690000	0.190508955715787	0.0739573498778389	3.52	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	4	1366900	3.44	1257500	1425300	-0.0526171336255789	0.075288880995103	3.87	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	7	533700	6.56	475500	627900	0.146032976099205	-0.0025532282081282	0.4	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	8	108100	18.93	83800	141500	0.228076937220055	-0.00372039042978556	1.5	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	9	194400	3.48	101200	237000	0.116145586653643	0.00651023021297065	1.28	specific
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	10	175100	16.43	143700	203600	0.176489302524748	-0.0911960966329854	4.9	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	12	730700	3.92	591500	811000	-0.053229951719827	0.067612992713414	3.16	together
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	13	290200	16.96	225300	320500	0.228112176137951	0.233575289355893	29.48	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	14	487700	4.35	404000	566300	0.0967670945356476	0.378367954100376	57.53	oposite
YGL202W	ARO8	i	0	1	180515	ARO8_i_0_1	mch	15	523400	9.38	492300	599100	0.143089603813768	0.209119125724867	18.45	oposite
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	1	166100	13.41	124200	207800	-0.142125384818503	0.011675937934983	0.41	specific
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	4	158500	7.49	124800	222800	-0.11911459129464	-0.0739876573752242	3.06	together
YDR099W	BMH2	a	0	1	180515	BMH2_a_0_1	gfp	4	1332900	4.11	1291800	1403300	-0.0772251394729419	-0.0755265176185931	2.02	specific
