orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	2	442300	15.74	420100	460500	-0.181798451623831	-0.0184508491612949	0.9	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	4	185100	7.06	151300	327000	-0.130416649943679	-0.0785076412498898	3.14	together
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	5	386500	22.2	371700	443300	0.180007614138065	-0.0939079330974469	11.65	oposite
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	8	363600	5.77	316700	554900	-0.100413386108704	0.00200165734777824	0.4	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	10	157300	70.83	145300	169900	-0.373051663926437	0.0556455290722643	2.03	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	10	659700	15.61	610600	701900	0.155611125490303	0.0175945063572499	0.4	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	11	277200	32.29	261600	300400	-0.254964173635596	-0.0269198638429334	0.64	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	12	210500	4.8	119200	364900	-0.0917379225006308	-0.0347584271129932	0.86	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	12	702200	19.75	671400	721600	0.169021088330048	-0.188607560738337	23.49	oposite
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	13	240200	12.5	203500	297700	0.1503427569481	0.0764281587188811	2.52	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	gfp	14	524300	12.57	487300	543700	0.146250279360818	0.275697895278635	45.11	together
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	4	186300	3.15	81500	304600	-0.0784836668278949	-0.129216899337598	7.05	together
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	5	511400	56.18	499600	526400	-0.309812375049074	0.157870862143608	17.09	oposite
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	6	231100	4.45	169300	270000	-0.0814794268871383	-0.0485916275647614	1.74	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	12	665400	24.47	651300	717800	-0.218598497874286	0.154763632599817	16.73	oposite
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	13	1100	4.54	0	76100	-0.16065082797723	-0.0690650473315036	0.62	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	13	297200	4.98	247600	375700	0.10172393690523	0.113332108360068	10.52	together
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	14	476000	53.48	453700	499600	0.30497410631519	0.127181367599699	9.06	together
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	15	623300	5.05	563000	708200	-0.0902618598156062	-0.0265983894870997	0.52	specific
YDL022W	GPD1	a	1	1	190201	GPD1_a_1_1	mch	15	1031800	3.54	938400	1074300	-0.0828792073425368	0.0136183488055117	0.48	specific
