orf	gene	chromo	numbAcross	type	GFP_LOD	GFP_effect	GFP_maxPOS	GFP_leftPOS	GFP_rightPOS	mCH_LOD	mCH_effect	mCH_maxPOS	mCH_leftPOS	mCH_rightPOS
YKR080W	MTD1	2	2	mch	0.1375	0.0115998913233565	NA	528650	631050	8.5875	-0.130762441722662	570950	528650	631050
YKR080W	MTD1	7	1	gfp	5.335	0.0920120552668315	391900	345200	445600	1.28	0.0337559250417012	391900	345200	445600
YKR080W	MTD1	7	1	gfp	5.325	0.074370499333516	530100	371700	585700	0.61	0.0170330856987762	530100	371700	585700
YKR080W	MTD1	8	2	gfp	13.145	-0.141783112306394	176350	153750	223850	6.34	-0.0956919486701351	176350	153750	223850
YKR080W	MTD1	8	2	together_mch	6.2	-0.0820694064326351	NA	76000	142100	10.105	-0.111805607881535	112800	76000	142100
YKR080W	MTD1	10	2	together	8.3375	0.117909837302116	181550	110950	214750	11.5825	0.154143739898669	133300	99300	222150
YKR080W	MTD1	11	1	gfp	3.435	-0.0721488762418634	219000	100200	289800	2.145	-0.046421438663926	219000	100200	289800
YKR080W	MTD1	12	1	mch	0.21	-0.0179667805595199	NA	640600	740800	3.445	-0.073938972889194	693300	640600	740800
YKR080W	MTD1	13	2	gfp	37.8925	0.250960492636517	136900	119750	162000	1.825	-0.0462039786501799	136900	119750	162000
YKR080W	MTD1	13	1	gfp	3.41	0.0748345550345995	885600	815500	922700	1.065	0.0250075131145734	885600	815500	922700
YKR080W	MTD1	14	2	gfp	29.745	-0.23095385535363	200700	173850	235250	0.635	-0.0382255509298771	200700	173850	235250
YKR080W	MTD1	14	2	oposite_mch	3.0175	-0.0544164090471851	NA	442600	494250	38.7325	0.264791553782931	466750	442600	494250
YKR080W	MTD1	15	2	gfp	5.27	0.0976650887309083	742300	691500	820700	2.085	-0.0491211253563099	742300	691500	820700
