sysname	name	chr	posup	posdown	strand	control	type	alias	info	meanexp	logFC	pval	padj
YAL001C	TFC3	1	147594	151166	C	Verified	ORF	transcription factor TFIIIC subunit TFC3|tau 138|TSV115|FUN24	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	3675.20230598163	0.104129092013721	0.000212710509656006	0.00483853352992219
YAL002W	VPS8	1	143707	147531	W	Verified	ORF	CORVET complex membrane-binding subunit VPS8|VPL8|VPT8|FUN15	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif	2205.06289182435	0.0190789172826017	0.688493784111029	0.872903240000025
YAL003W	EFB1	1	142174	143160	W	Verified	ORF	translation elongation factor 1 subunit beta|EF-1beta|eEF1Balpha|TEF5	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants	68150.6586497397	-0.137675562148942	0.000236873598113665	0.00516366498918236
YAL004W	YAL004W	1	140760	141407	W	Dubious	ORF		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C	6.56731447702537	-0.00752550106272627	0.785758311573711	0.915577866593785
YAL005C	SSA1	1	139503	141431	C	Verified	ORF	Hsp70 family ATPase SSA1|YG100	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils	42937.2922306992	-0.0483463920224232	0.436374929019407	0.720198100459623
YAL007C	ERP2	1	137698	138345	C	Verified	ORF		Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication	5357.60992703674	0.0264591589028381	0.327437184708329	0.633868112115417
YAL008W	FUN14	1	136914	137510	W	Verified	ORF	MCP3	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis	1429.87609368217	-0.0444646500227565	0.245499173194488	0.548420674570033
YAL009W	SPO7	1	135854	136633	W	Verified	ORF	Nem1-Spo7 phosphatase regulatory subunit SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	1204.38648651469	-0.0231087316004448	0.562892408767094	0.799665715244292
YAL010C	MDM10	1	134184	135665	C	Verified	ORF	FUN37	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase	1307.13561929806	0.0232775726302661	0.523145040262377	0.771470957409409
YAL011W	SWC3	1	132199	134076	W	Verified	ORF	SWC1	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	1583.06291100543	-0.00600618717036057	0.880839143107688	0.956268467660633
YAL012W	CYS3	1	130799	131983	W	Verified	ORF	cystathionine gamma-lyase CYS3|STR1|FUN35|CYI1	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	12773.2907675455	0.0135696110182708	0.684617290207395	0.870776937416166
