ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	4	56900	4.25	0	112700	0.0830257734034793
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	5	518000	21.47	501000	562300	0.190661434724464
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	7	143600	5.39	70500	224200	-0.103376624639434
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	8	166500	2.87	112500	554900	0.071079531602797
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	10	177300	5.38	116400	276600	0.0943312768259544
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	10	692300	4.31	604800	741700	-0.0704246306954351
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	11	258900	4.93	196600	366000	0.0817487942790024
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	13	58000	5.95	0	145900	-0.0953260391615305
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	15	377000	3.45	293200	440100	0.0726738458262772
GPD1_a_0_1_4	GPD1_a_3_1_4	GPD1_a_0_1_4 GPD1_a_3_1_4	15	747000	3.74	670400	933400	0.0562826727426732
