gene	chromosome	peakPosition	LOD	2LODIntervalLeft	2LODIntervalRight	alleleFrequencyDifference
YAL005C	chr01	38900	6.36	0	60900	0.1091146088
YAL005C	chr02	588000	4.73	524700	634000	-0.0936315538
YAL005C	chr04	42800	5.02	0	88700	-0.1160801872
YAL005C	chr04	732800	5.47	592300	817600	-0.0870380742
YAL005C	chr07	369700	24.57	352600	386600	0.237939906
YAL005C	chr08	129700	5.23	86000	193200	0.109291901
YAL005C	chr10	659900	10.77	639700	680300	0.1695253632
YAL005C	chr11	270400	95.23	262500	275200	-0.4972861931
YAL005C	chr12	653500	18.6	637700	675300	0.209083969
YAL005C	chr13	114500	8.35	94200	157100	0.1413396037
YAL005C	chr14	510200	10.25	478800	536000	0.1585581895
YAL005C	chr16	194600	31.11	172500	210700	-0.2628996511
YAL012W	chr01	29400	4.53	0	72500	-0.0924188141
YAL012W	chr08	180600	7.95	154600	223700	-0.1302754452
YAL012W	chr11	261700	11.12	236700	280400	-0.1602978186
YAL012W	chr12	641700	13.21	616100	662300	0.1648548095
YAL044C	chr04	1467600	8.96	1413300	1506200	-0.1387638085
YAL044C	chr05	393600	16.36	371600	414300	0.202449608
YAL044C	chr08	170600	15.34	153700	190300	-0.1821803325
YAL044C	chr09	74700	4.81	40000	158900	0.0978348729
YAL044C	chr11	234600	7.14	173200	290600	0.11804995
YAL044C	chr12	662200	18.24	641700	702400	-0.1968470974
YAL044C	chr13	71300	26.15	48600	114200	0.2317188782
YAL044C	chr14	474200	9.04	438300	512900	-0.1615583204
YAL060W	chr04	584700	7.1	460700	641800	-0.1078913653
YAL060W	chr05	366000	19.92	350700	391100	0.2193127896
YAL060W	chr07	476800	18.05	456300	527900	0.191194904
YAL060W	chr08	445800	5.68	374700	527300	-0.0904943979
YAL060W	chr09	101900	6.57	48100	187100	-0.1030898467
YAL060W	chr10	657300	5.77	619200	697500	-0.0990945002
YAL060W	chr11	642200	5.03	588300	644800	0.1045121823
YAL060W	chr12	168300	6.82	125600	252000	-0.1004529851
YAL060W	chr12	666700	13.17	627900	707800	0.1564010567
YAL060W	chr12	1043100	5.91	965900	1059600	0.1035014308
YAL060W	chr13	24300	6.97	0	79000	0.0965488092
YAL060W	chr13	590900	5.91	523500	624600	-0.1105347047
YAL060W	chr14	460900	22.36	442200	478000	0.2130742167
YAL060W	chr15	530900	11.36	504600	611600	0.1447254064
YBL007C	chr02	73600	5.31	32300	102500	0.0596910623
YBL007C	chr07	543400	5.58	461800	574600	0.0987413401
YBL007C	chr12	248800	5.14	207800	281900	-0.1016787951
YBL007C	chr12	612900	8.91	574200	652600	0.1381204094
YBL007C	chr12	1035400	6.81	1014600	1059600	0.1098404851
YBL007C	chr14	463000	23.48	450100	477100	0.2124344811
YBL007C	chr15	168900	5.07	119900	194800	0.1048853462
YBL076C	chr02	141900	9.1	107800	217200	0.136847029
YBL076C	chr04	210800	7.42	158600	248600	0.1271848543
YBL076C	chr08	141700	13.26	106200	171400	0.1558908188
YBL076C	chr13	61500	8.25	40500	104500	0.1360851185
YBL076C	chr14	459000	7.36	429500	486900	0.1356591464
YBL076C	chr15	144100	8.32	125100	184500	0.1310078221
YBR067C	chr01	46800	43.71	39000	55100	0.324765769
YBR067C	chr04	248800	7.14	223400	294500	-0.1090239189
YBR067C	chr05	378300	44.28	368300	392700	-0.3031421451
YBR067C	chr07	395700	14.02	378200	418300	-0.182826982
YBR067C	chr08	104000	51.73	92600	113000	0.3411749796
YBR067C	chr10	701600	6.71	675300	727000	0.1184893452
YBR067C	chr11	268700	39.08	260400	277000	-0.3018720246
YBR067C	chr12	656300	136.7	650600	666100	0.5715634726
YBR067C	chr13	54000	24.11	40000	102400	0.22749835
YBR067C	chr13	398700	6.55	368300	445900	-0.1092033115
YBR067C	chr13	590600	4.91	553400	645400	0.1004768095
YBR067C	chr14	245800	5.49	179100	280500	-0.1142167716
YBR067C	chr15	156100	10.35	136700	186800	-0.1406954946
YBR084C-A	chr02	158600	14.54	132900	189600	0.1663969547
YBR084C-A	chr14	465900	36.39	453800	477000	-0.27760997
YBR084C-A	chr15	167300	10.8	135700	188800	0.1504906995
YBR143C	chr02	134300	12.49	95100	160100	0.1604246437
YBR143C	chr07	176700	5.1	80000	262400	-0.1024720887
YBR143C	chr12	887300	6.06	829600	945200	-0.1088678358
YBR143C	chr13	34500	7.6	0	102400	-0.1090323119
YBR143C	chr14	501400	4.53	437300	615900	-0.0897682612
YBR143C	chr15	158100	5.77	120300	198200	0.1094290562
YBR143C	chr15	892200	4.8	805100	942100	0.085300921
YBR179C	chr14	446500	7.63	416900	484100	-0.1281191123
YBR179C	chr15	154100	4.72	123600	221400	0.1055494234
YBR221C	chr02	148200	5.17	104500	180800	0.0707207113
YBR221C	chr05	506500	21.61	491700	522700	-0.2259622951
YBR221C	chr11	260000	4.56	213300	298000	-0.1074847535
YBR221C	chr12	657100	23.21	642600	672900	-0.2297417805
YBR221C	chr13	88100	12.22	42500	116800	0.1536527382
YCL009C	chr02	128600	8.58	89700	186000	0.1250209019
YCL009C	chr04	1331300	4.57	1295100	1460900	-0.0922448396
YCL009C	chr12	649900	21.52	631900	690100	-0.197861653
YCL009C	chr13	70600	6.9	43700	165600	0.1429715004
YCL009C	chr14	456100	38.18	438900	469800	-0.308234493
YCL040W	chr01	47600	9.22	0	69400	0.1410529465
YCL040W	chr04	228100	4.84	174600	282100	-0.0952244179
YCL040W	chr04	607000	4.54	387600	683800	-0.0976532785
YCL040W	chr05	197700	7.49	154200	259500	0.1090173128
YCL040W	chr11	142500	6.2	92200	195900	0.1094386343
YCL040W	chr12	252000	9.27	161600	270800	-0.1475814897
YCL040W	chr12	1048900	7.43	1009200	1059600	0.1315801196
YCL040W	chr14	463400	6.18	427200	526600	0.1067670354
YCR002C	chr12	268500	4.69	222900	311400	-0.0918923679
