orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	5	397450	7.1725	360250	479700	-0.107819666662278	-0.0325901969793389	1.88	specific	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	11	189300	7.7675	137600	263900	-0.0973220142793763	-0.0819489859439864	4.9375	together	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	12	661850	308.795	653200	670400	-0.929638702983122	-0.53751770684384	149.7075	together	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	13	369050	10.4125	312250	430000	0.13447999623811	0.0603023821781076	3.32	together	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	gfp	15	139800	12.26	110250	172000	-0.141655979245521	-0.0604563032102592	3.02	together	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	2	620700	3.1475	501350	674400	-0.0677787741882717	0.0137513197406535	0.3025	specific	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	11	253300	5.795	159500	307000	-0.0915119526408423	-0.0912466468849029	6.655	together	1
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	12	669250	150.095	653000	680250	-0.534789679144888	-0.91210092873203	307.4775	together	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	13	59050	6.9425	0	85500	-0.101586074401499	0.0772037693092868	4.435	oposite	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	14	464050	38.7475	443150	485250	0.273541975174427	0.0558681501028388	1.6075	specific	2
YJR048W	CYC1	a	1	1	190201	CYC1_a_1_1	mch	15	151900	3.24	0	229900	-0.06045977893382	-0.150673744652854	13.28	together	1
YJR048W	CYC1	a	2	1	190201	CYC1_a_2_1	mch	4	228800	3.565	156400	321800	-0.0747539360866605	-0.0590651827801897	2.605	specific	1
YJR048W	CYC1	a	2	1	190201	CYC1_a_2_1	mch	13	363400	3.665	288900	430200	0.0628154165384753	0.135435734457834	10.55	together	1
