genes	names	chr	brionmaxpos	briondeltaAF	brionLOD	repnum	albertmaxpos	albertdeltaAF	albertLOD	correspond	channel
YGL202W	ARO8	1	143400	-0.102940415047245	4.84	2	143624	0.0370812432394598	0	unique_brion	gfp
YGL202W	ARO8	2	134800	0.113296939819358	7.93	1	135186	0.0692291275843929	0	unique_brion	gfp
YGL202W	ARO8	4	171200	-0.0784216395089998	3.88	1	171295	0.0755545794230673	0	unique_brion	gfp
YGL202W	ARO8	4	691900	0.0894682709006207	5.135	1	691928	-0.0256131240805741	0	unique_brion	gfp
YGL202W	ARO8	4	998800	0.0542601659667072	3.62	1	998625	0.0320098204140928	0	unique_brion	gfp
YGL202W	ARO8	5	385000	-0.113173625874381	8.6325	2	384152	0.0327740413929124	0	unique_brion	gfp
YGL202W	ARO8	8	435600	-0.102462772617645	8.0775	2	422200	-0.1973176751	21.48	together	gfp
YGL202W	ARO8	10	157500	-0.102332786740391	6.67	1	157483	-0.0556556000421219	0	unique_brion	gfp
YGL202W	ARO8	11	235250	-0.200318690184479	24.52	2	235209	-0.0221193880133727	0	unique_brion	gfp
YGL202W	ARO8	13	32400	-0.110148322176128	4.525	2	66400	0.1643255908	14.63	oposite	gfp
YGL202W	ARO8	13	250800	0.127631795785801	10.08	1	250460	0.0100873168548865	0	unique_brion	gfp
YGL202W	ARO8	13	710750	0.0932195739876216	6.2075	2	711469	0.0499719488455464	0	unique_brion	gfp
YGL202W	ARO8	14	162150	-0.402839572676455	85.4725	2	163968	-0.0368522607003203	0	unique_brion	gfp
YGL202W	ARO8	14	468100	0.180910727113932	14.585	2	468490	0.0215431835790246	0	unique_brion	gfp
YGL202W	ARO8	15	148000	0.0899854885038792	3.48	2	147981	0.0737744899366147	0	unique_brion	gfp
YGL202W	ARO8	15	703850	0.149388611399466	13.1525	2	703125	0.0278282757424956	0	unique_brion	gfp
YGL202W	ARO8	16	176400	0.079522294509663	4.055	1	176476	0.0292363369004625	0	unique_brion	gfp
YGL202W	ARO8	4	614900	0.0805602268611071	4.62	1	614736	0.000282619275936615	0	unique_brion	gfp
YGL202W	ARO8	13	419900	0.0859515677202396	5.455	1	420097	0.0446708884058836	0	unique_brion	gfp
YGL202W	ARO8	16	281900	0.0641743948355862	3.33	1	281894	0.0453574351842358	0	unique_brion	gfp
YGL202W	ARO8	4	1463798	0.0317752729368731	1.045	0	1463800	-0.1610585962	10.25	unique_albert	gfp
YGL202W	ARO8	14	258590	-0.305997412260633	50.34	0	258500	-0.0908568336	4.56	unique_albert	gfp
YDR099W	BMH2	1	152400	-0.137931067643789	10.4025	2	152338	-0.0331279645812793	0	unique_brion	gfp
YDR099W	BMH2	4	174800	-0.0987388239217802	5.585	2	174832	0.0152852883083392	0	unique_brion	gfp
YDR099W	BMH2	5	425800	-0.0876056973949725	5.43	2	425829	-0.0239187285015857	0	unique_brion	gfp
YDR099W	BMH2	7	380900	0.102641748481628	4.9925	2	380673	0.023505767558491	0	unique_brion	gfp
YDR099W	BMH2	10	171900	-0.19505235047208	22.2375	2	171760	-0.0742245790992023	0	unique_brion	gfp
YDR099W	BMH2	10	643700	0.0847379755409108	3.7775	2	644087	0.0323477531080985	0	unique_brion	gfp
YDR099W	BMH2	11	305150	-0.308175867121632	60.4775	2	262200	-0.1536284132	11.87	together	gfp
YDR099W	BMH2	13	339650	0.130082127576784	9.8825	2	339642	0.0671908753937962	0	unique_brion	gfp
YDR099W	BMH2	14	225850	-0.123974896803257	10.0325	2	225777	-0.0585363234220744	0	unique_brion	gfp
YDR099W	BMH2	15	187800	-0.108764523030065	8.285	2	172400	-0.0882071083	4.54	together	gfp
YDR099W	BMH2	15	564700	-0.0850607357508295	7.09	1	564576	0.0303014775680782	0	unique_brion	gfp
YDR099W	BMH2	7	962982	-0.0239276176164365	0.745	0	963000	0.0857296395	5.11	unique_albert	gfp
YDR099W	BMH2	13	72351	0.0412755531532411	1.715	0	72400	0.2260244386	23.33	unique_albert	gfp
YDR099W	BMH2	14	464233	0.0543705719987349	1.7	0	464200	0.3442729701	53.67	unique_albert	gfp
YLR286C	CTS1	13	64400	0.154882276808663	14.165	2	64724	0	0	unique_brion	gfp
