orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	1	180700	4.02	115800	207800	-0.0899377223274612	0.0289983058607573	0.48	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	4	66500	5.51	0	141200	-0.0920709377644539	-0.115793717797185	6.06	together
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	4	1034300	14.37	986700	1098700	0.171882675340981	-0.161302993914277	16.53	oposite
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	7	355200	3.85	307300	425300	0.0909030715444805	0.028297928892416	0.53	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	10	144800	49.79	129800	166500	-0.330867946233819	0.106531705464628	4.68	oposite
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	12	689200	27.02	655500	716400	0.255525299750225	-0.0299542517647284	1.14	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	13	273800	6.54	130900	314900	0.086577402623113	0.033140063913627	0.85	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	14	466100	13.48	441000	495800	0.193633290138312	0.190330914053336	15.16	together
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	gfp	15	149300	11.23	117800	186100	-0.160186049049627	-0.0165293235081505	0.6	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	2	626000	4.43	312300	735200	-0.0969632029345362	-0.00245244971680914	0.41	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	4	70500	6.15	0	111300	-0.116195541726683	-0.0935902838794372	5.48	together
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	4	1069300	18.55	1034400	1104600	-0.172150622176909	0.169881824519965	13.41	oposite
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	10	141700	4.73	44500	197800	0.107588116776336	-0.3303770950404	49.65	oposite
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	13	62000	4.23	0	106200	-0.0990863992633809	0.0727521864752124	2.75	specific
YKL035W	UGP1	a	0	1	180529	UGP1_a_0_1	mch	14	485300	16.59	458300	506500	0.193449074295351	0.178680294945405	12.56	together
