orf	gene	crispr	rep	tech	date	tube	fluorecence	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low	deltaOther	LOD_Other	effectRNAPROT	numbAcross
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	1	143400	4.84	95800	207800	-0.102940415047245	0.0105542532340889	0.2025	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	2	134800	7.93	114500	154500	0.113296939819358	0.106456827525975	6.355	together	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	171200	3.88	140400	215700	-0.0784216395089998	-0.0622489397061012	3.295	together	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	691900	5.135	634800	763800	0.0894682709006207	-0.00764163829639347	0.16	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	4	998800	3.62	945800	1055300	0.0542601659667072	0.0161513483497429	0.905	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	5	385000	8.6325	342950	446250	-0.113173625874381	-0.0542268079041232	1.8725	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	8	435600	8.0775	381750	476700	-0.102462772617645	-0.0267701219241048	0.5425	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	10	157500	6.67	123300	216500	-0.102332786740391	0.0498910039260138	1.835	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	11	235250	24.52	191200	277350	-0.200318690184479	-0.0484351644208285	2.94	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	32400	4.525	0	79350	-0.110148322176128	-0.0795904144216725	4.6175	together	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	250800	10.08	224000	270600	0.127631795785801	0.0382943557169784	0.94	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	13	710750	6.2075	657600	794800	0.0932195739876216	0.0242037792898056	0.69	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	14	162150	85.4725	148500	177750	-0.402839572676455	-0.039327328772033	1.545	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	14	468100	14.585	449000	537450	0.180910727113932	0.286782737814576	46.0125	together	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	15	148000	3.48	110900	224850	0.0899854885038792	0.00229354269466969	0.0775	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	15	703850	13.1525	659550	793450	0.149388611399466	-0.0220470117952277	0.2825	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	gfp	16	176400	4.055	121700	365600	0.079522294509663	0.0479553264491506	1.615	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	2	117250	6.345	59150	162150	0.106527181071754	0.108339467651754	6.9225	together	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	2	614800	5.5625	531200	675550	-0.0918014046669312	0.00466987587796429	0.1675	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	4	96100	3.58	0	190000	-0.0616584106321726	-0.0317595804935786	1.805	specific	1
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	8	103200	7.64	69400	137550	-0.145199615877641	-0.00324080560446686	0.17	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	11	290800	3.855	181350	484650	-0.0607889887907242	-0.171477068231731	18.8475	together	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	13	78200	6.6425	41050	117100	-0.110180966033194	-0.0659185488953914	2.715	specific	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	14	462150	46.68	450450	480250	0.290398634232849	0.182596450377671	14.735	together	2
YGL202W	ARO8	a	0	1	180515	ARO8_a_0_1	mch	15	572900	5.215	516700	592200	0.0601949990088187	0.0817976479329513	4.715	together	1
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	4	614900	4.62	474800	722700	0.0805602268611071	0.00322772800264826	0.18	specific	1
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	13	419900	5.455	381900	486700	0.0859515677202396	0.040904774027495	1.115	specific	1
YGL202W	ARO8	a	1	1	190201	ARO8_a_1_1	gfp	16	281900	3.33	69800	391900	0.0641743948355862	0.0569358151520848	2.28	specific	1
