genes	names	chr	brionmaxpos	briondeltaAF	brionLOD	repnum	albertmaxpos	albertR	albertLOD	correspond	channel
YGL202W	ARO8	2	117250	0.106527181071754	6.345	2	117298	-0.0655487355921791	0	unique_brion	mch
YGL202W	ARO8	2	614800	-0.0918014046669312	5.5625	2	614131	-0.0804424878468511	0	unique_brion	mch
YGL202W	ARO8	4	96100	-0.0616584106321726	3.58	1	96217	0.0616525085121681	0	unique_brion	mch
YGL202W	ARO8	8	103200	-0.145199615877641	7.64	2	103046	0.0025805568948386	0	unique_brion	mch
YGL202W	ARO8	11	290800	-0.0607889887907242	3.855	2	292055	-0.0302558477490669	0	unique_brion	mch
YGL202W	ARO8	13	78200	-0.110180966033194	6.6425	2	78125	0.0768229226197777	0	unique_brion	mch
YGL202W	ARO8	14	462150	0.290398634232849	46.68	2	466588	0.207232146681648	9.64596770401069	together	mch
YGL202W	ARO8	15	572900	0.0601949990088187	5.215	1	573312	0.0562123327990527	0	unique_brion	mch
YGL202W	ARO8	14	377751	0.162013391223559	17.765	0	377751	0.407682979081512	39.9441094804216	unique_albert	mch
YGL202W	ARO8	4	690684	-0.00737031127951184	0.975	0	690684	0.133368680413801	3.94397282741467	unique_albert	mch
YGL202W	ARO8	16	202708	0.0560556699940351	2.305	0	202791	0.126224505864675	3.52943430095365	unique_albert	mch
YGL202W	ARO8	14	288822	0.0283711742348157	2.1	0	288822	-0.130295287226054	3.76274743055838	unique_albert	mch
YGL202W	ARO8	15	729380	-0.039120577219753	0.95	0	729380	0.137122889256633	4.17128673224778	unique_albert	mch
YGL202W	ARO8	12	665236	0.00164883911637935	0.485	0	665236	0.202997497458019	9.2474490686221	unique_albert	mch
YGL202W	ARO8	9	141321	0.00250768088451354	0.405	0	141022	-0.127272371731814	3.58876055464636	unique_albert	mch
YDR099W	BMH2	2	575500	-0.106611940886531	7.455	1	575460	0.00362308693223666	0	unique_brion	mch
YDR099W	BMH2	8	85200	-0.0792668244486913	3.855	1	83454	0.0484930702830653	0	unique_brion	mch
YDR099W	BMH2	13	64800	-0.0760412544059547	3.5575	2	65230	0.00255279744564637	0	unique_brion	mch
YDR099W	BMH2	14	469200	0.315885739560851	55.9475	2	461863	-0.133157059445648	3.93135412710134	oposite	mch
YDR099W	BMH2	15	545900	0.0712414133284644	4.51	1	492116	-0.133390953387308	3.94530214535942	oposite	mch
YDR099W	BMH2	12	684400	-0.0730602710747478	4.365	1	659350	-0.340704070947149	27.1148589651237	together	mch
YDR099W	BMH2	15	127240	-0.01688171427656	1.05	0	127240	-0.16036880919274	5.72558739294534	unique_albert	mch
YDR099W	BMH2	14	372376	0.163079533865196	19.76	0	372376	0.120290949942279	3.20303695318196	unique_albert	mch
YDR099W	BMH2	7	122047	-0.0133545853417846	0.795	0	122047	0.248412154273567	13.9971053203781	unique_albert	mch
YDR099W	BMH2	12	136527	0.0550299382157585	2.08	0	136527	-0.130832418642551	3.79410450816098	unique_albert	mch
YLR286C	CTS1	8	86500	-0.0753988668932218	4.66	1	115977	0.22556206204088	11.4751041326005	oposite	mch
YLR286C	CTS1	10	381350	0.0763576992790567	3.4575	2	381896	0.0181645446910717	0	unique_brion	mch
YLR286C	CTS1	14	466700	0.164685069414101	18.515	2	453089	0.178992914708946	7.15580126937866	together	mch
YLR286C	CTS1	4	156100	-0.0693476043889006	3.74	1	156110	0.0289965139566029	0	unique_brion	mch
YLR286C	CTS1	5	331400	-0.072260969172509	3.805	1	332072	0.0497031832217934	0	unique_brion	mch
YLR286C	CTS1	11	222800	-0.0670664423009744	3.415	1	223233	0.0243370193911635	0	unique_brion	mch
YLR286C	CTS1	13	68900	-0.0540620904459339	3.51	1	18907	-0.147276360573238	4.8189679672797	together	mch
YLR286C	CTS1	14	267161	0.0124815248228205	0.87	0	266760	0.128451340470793	3.65611512720922	unique_albert	mch
YLR286C	CTS1	1	45431	-0.0270146836871045	0.845	0	45522	0.183810483760261	7.55296393490465	unique_albert	mch
YLR286C	CTS1	16	501255	-0.00269861568582008	0.415	0	501255	-0.209366659787191	9.85024339595515	unique_albert	mch
YLR286C	CTS1	7	122120	-0.0112603151617856	0.525	0	122421	0.250526054015661	14.2442620520818	unique_albert	mch
YLR286C	CTS1	2	540838	-0.0532308759628158	2.19	0	541139	0.139281338977401	4.30494541102317	unique_albert	mch
YLR286C	CTS1	10	652591	-0.0229336523335501	0.625	0	652591	-0.211501356515266	10.0568232346623	unique_albert	mch
YLR286C	CTS1	10	108143	0.0118673303929076	0.85	0	108259	-0.194100924467345	8.43922377031445	unique_albert	mch
YLR286C	CTS1	12	355836	0.0369664700777387	0.97	0	355836	0.121890387879065	3.28942593773757	unique_albert	mch
YLR286C	CTS1	14	333469	0.0602813556065329	3.35	0	333367	0.400897248475708	38.5027561807792	unique_albert	mch
YLR286C	CTS1	15	169704	0.0487974415177332	1.56	0	169704	-0.318037587805385	23.4337536455961	unique_albert	mch
YJR048W	CYC1	2	620700	-0.0677787741882717	3.1475	2	611232	0.127996257754158	3.63004017242166	oposite	mch
YJR048W	CYC1	11	253300	-0.0915119526408423	5.795	1	234378	-0.133183271454087	3.93291599061699	together	mch
YJR048W	CYC1	12	669250	-0.534789679144888	150.095	2	657022	-0.83278354177285	259.886560430043	together	mch
YJR048W	CYC1	13	59050	-0.101586074401499	6.9425	2	58688	0.0166506296424945	0	unique_brion	mch
YJR048W	CYC1	14	464050	0.273541975174427	38.7475	2	464117	-0.0809733779333494	0	unique_brion	mch
YJR048W	CYC1	15	151900	-0.06045977893382	3.24	1	156746	-0.203341984792277	9.2795342430973	together	mch
YJR048W	CYC1	4	228800	-0.0747539360866605	3.565	1	228893	-0.0483759917626263	0	unique_brion	mch
YJR048W	CYC1	13	363400	0.0628154165384753	3.665	1	338431	0.204906381686155	9.42598443154907	together	mch
YJR048W	CYC1	6	211826	-0.027962629796296	0.82	0	211652	-0.118832268671138	3.12527444634391	unique_albert	mch
YJR048W	CYC1	4	388440	-0.00804295207281607	0.885	0	388440	-0.1637658349691	5.97408375718002	unique_albert	mch
YJR048W	CYC1	12	136527	0.010938655530936	0.89	0	136527	-0.126323580876945	3.53502188068847	unique_albert	mch
YJR048W	CYC1	15	482608	-0.010901291274072	0.655	0	482608	-0.143449443205144	4.56919564537977	unique_albert	mch
YJR048W	CYC1	14	400976	0.205023788490794	21.635	0	400049	-0.288732606206845	19.1289673054713	unique_albert	mch
YJR048W	CYC1	7	140030	0.0024822533172431	0.4	0	140030	0.198630518490621	8.8458260480482	unique_albert	mch
