target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	2.5	2.14385
YPR161C	1974	1775	3286	31.9781
YOL138C	4026	3827	2179	9.83517
YDR395W	2835	2636	10380	68.0198
YGR129W	648	449	765	29.4305
YPR165W	630	431	10439	418.374
YPR098C	486	287	1243	74.8122
YPL015C	1074	875	2029	40.055
YCL050C	966	767	11207	252.393
YAL069W	315	116.007	0	0
YMR193W	777	578	1104	32.9932
YLR031W	561	362	62	2.95846
YIL014C-A	315	116.007	237	35.2896
YGR053C	852	653	137	3.62402
YCR101C	549	350	120	5.92238
YER087C-B	249	53.2273	2143	695.457
YOR280C	801	602	1303	37.3879
YGR097W	3441	3242	3164	16.858
YHR215W	1404	1205	543.59	7.79234
YKL025C	2040	1841	2227	20.8953
YKR011C	1062	863	868	17.3737
YEL004W	1029	830	769	16.0041
YJL200C	2370	2171	10131	80.6075
YLL027W	753	554	2082	64.9163
YOR024W	324	125.002	1	0.138186
YLR045C	2667	2468	3589	25.1195
YDR348C	1500	1301	4356	57.8354
YPL183C	3042	2843	9300	56.5053
YGR003W	2235	2036	2225	18.8771
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	773	21.7467
YGL060W	1926	1727	2086	20.8644
YLL007C	1998	1799	826	7.93107
YEL009C	846	647	42085	1123.59
YEL015W	1656	1457	5764	68.3357
YOR083W	888	689	397	9.95301
YBR252W	444	245	2400	169.211
YDR329C	1326	1127	2678	41.0459
YDL202W	750	551	1331	41.7263
YHR209W	876	677	324	8.26684
YPR008W	2085	1886	4927	45.1257
YER075C	2787	2588	2691	17.9611
YDL203C	1872	1673	1863	19.2353
YBR050C	1017	818	64	1.35148
YMR197C	654	455	1486	56.4145
YDR261W-A	1317	1118	0	0
YBL049W	417	218	21	1.66397
YER054C	1647	1448	226	2.69602
YDR305C	654	455	838	31.8138
YHL019W-A	594	395	35	1.53057
YNL201C	2577	2378	5110	37.1186
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	331	3.36922
YBR206W	324	125.002	871.422	120.419
YPL171C	1203	1004	68	1.16993
YHR051W	447	248	2304	160.477
YDL116W	2181	1982	4851	42.2776
YPR124W	1221	1022	1404	23.7301
YJL023C	1044	845	739	15.1067
YGL167C	2853	2654	4534	29.5096
YDL165W	576	377	1611	73.8138
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	18	4.69637
YIL143C	2532	2333	3827	28.3352
YBR292C	372	173	2	0.199695
YGR240C	2964	2765	46555	290.84
YOR094W	552	353	1095	53.5824
YDR167W	621	422	2073	84.8535
YBR063C	1215	1016	1431	24.3293
YER052C	1584	1385	12356	154.103
YGR178C	2169	1970	8982	78.7571
YPL118W	1035	836	3603	74.4459
YPR187W	468	269	7931	509.283
YJL065C	504	305	1264	71.5864
YOL141W	2088	1889	1151	10.5251
YPR086W	1038	839	4321	88.9622
YBR122C	534	335	1704	87.8634
YBR271W	1260	1061	2758	44.9016
YBR279W	1338	1139	5109	77.481
YHR095W	495	296	16	0.933709
YMR221C	1515	1316	4677	61.3896
YDR241W	288	89.1545	64	12.4
YJL221C	1770	1571	77.3707	0.850714
YER130C	1332	1133	8226	125.413
YBR155W	1158	959	3645	65.6541
YDR363W	1371	1172	1447	21.3267
YGR266W	2106	1907	2580	23.3696
YLR443W	1347	1148	1747	26.2866
YPL147W	2613	2414	624	4.46509
YAL034C	1242	1043	882	14.6072
YBR067C	633	434	6560	261.094
YCR095C	1089	890	1308	25.3864
YLR270W	1053	854	2139	43.2649
YPR084W	1371	1172	1263	18.6148
YBR184W	1572	1373	351	4.4159
YMR113W	1284	1085	1828	29.1024
YGR035C	351	152	256	29.0924
YDL222C	930	731	206	4.8678
YCL008C	1158	959	1354	24.3884
YEL065W	1887	1688	1772	18.1332
YNL335W	678	479	16	0.576989
YMR296C	1677	1478	7687	89.8391
YDR232W	1647	1448	4230	50.4609
YGR190C	366	167	0	0
YHR116W	456	257	359	24.1293
YDR313C	861	662	692	18.0564
