Chromosome	ORF	Promoter	UTR5	Start	End	UTR3	Terminator	End to end?	Tail to Tail?
chrI	YAL069W	Not available 	Not available 	335	649	Not available 	Not available 	0	0
chrI	YAL068W-A	Not available 	Not available 	538	792	Not available 	Not available 	1	1
chrI	YAL068C	Not available 	Not available 	2169	1807	Not available 	Not available 	1	1
chrI	YAL067W-A	Not available 	Not available 	2480	2707	Not available 	Not available 	1	0
chrI	YAL067C	Not available 	Not available 	9017	7236	Not available 	Not available 	1	1
chrI	YAL066W	Not available 	Not available 	10092	10400	Not available 	Not available 	1	0
chrI	YAL065C	Not available 	Not available 	11952	11566	Not available 	Not available 	1	0
chrI	YAL064W-B	Not available 	Not available 	12047	12427	Not available 	Not available 	1	1
chrI	YAL064C-A	Not available 	Not available 	13744	13364	Not available 	Not available 	1	0
chrI	YAL064W	Not available 	Not available 	21526	21852	Not available 	Not available 	1	1
chrI	YAL063C-A	Not available 	Not available 	22687	22397	Not available 	Not available 	1	1
chrI	YAL063C	Not available 	Not available 	27969	24001	Not available 	Not available 	0	1
chrI	YAL062W	Not available 	178	31568	32941	94	187	0	0
chrI	YAL061W	187	227	33449	34702	151	217	0	1
chrI	YAL060W	217	86	35156	36304	118	Not available 	1	1
chrI	YAL059W	Not available 	Not available 	36510	37148	101	166	0	1
chrI	YAL059C-A	Not available 	Not available 	36919	36497	Not available 	Not available 	1	1
chrI	YAL058W	166	50	37465	38973	55	Not available 	1	1
chrI	YAL056C-A	Not available 	Not available 	39047	38697	Not available 	Not available 	1	1
chrI	YAL056W	Not available 	46	39260	41902	93	163	0	1
chrI	YAL055W	163	20	42178	42720	154	Not available 	1	0
chrI	YAL054C	Not available 	Not available 	45023	42882	Not available 	Not available 	1	1
chrI	YAL053W	Not available 	109	45900	48251	53	253	0	1
chrI	YAL051W	253	8	48565	51708	151	0	1	1
chrI	YAL049C	78	49	52596	51856	100	40	1	1
chrI	YAL047W-A	Not available 	Not available 	54585	54914	Not available 	Not available 	1	0
chrI	YAL048C	Not available 	Not available 	54790	52802	79	78	0	1
chrI	YAL047C	Not available 	Not available 	56858	54990	54	Not available 	1	0
chrI	YAL046C	Not available 	47	57386	57030	120	Not available 	0	1
chrI	YAL044W-A	Not available 	Not available 	57519	57851	113	0	1	1
chrI	YAL045C	Not available 	Not available 	57797	57489	Not available 	Not available 	0	0
chrI	YAL044C	169	7	58463	57951	61	Not available 	1	0
chrI	YAL043C	Not available 	51	61053	58696	57	169	0	0
chrI	YAL042W	Not available 	Not available 	61317	62564	84	105	0	1
chrI	YAL042C-A	Not available 	Not available 	61609	61232	Not available 	Not available 	0	1
chrI	YAL041W	105	88	62841	65405	58	0	1	1
chrI	YAL040C	840	319	67521	65779	11	275	1	1
chrI	YAL039C	2045	50	69526	68717	37	840	0	1
chrI	YAL038W	2195	29	71787	73289	166	Not available 	1	-1
chrI	YAL037C-B	Not available 	Not available 	73301	72327	76	0	1	-1
chrI	YAL037C-A	Not available 	4	73519	73427	41	Not available 	0	1
chrI	YAL037W	Not available 	Not available 	74021	74824	Not available 	Not available 	1	1
chrI	YAL036C	151	20	76153	75044	167	Not available 	1	1
chrI	YAL035W	87	21	76428	79436	104	Not available 	1	1
chrI	YAL034W-A	Not available 	Not available 	79719	80588	90	0	1	1
chrI	YAL034C-B	Not available 	Not available 	79843	79490	Not available 	Not available 	1	1
chrI	YAL034C	583	98	81952	80711	124	Not available 	1	0
chrI	YAL033W	614	17	82707	83228	74	0	1	0
chrI	YAL032C	Not available 	35	84475	83336	34	57	1	1
chrI	YAL031W-A	Not available 	Not available 	84670	84978	Not available 	Not available 	1	1
chrI	YAL031C	Not available 	Not available 	87032	84750	Not available 	Not available 	1	0
chrI	YAL030W	Not available 	23	87287	87753	105	0	1	1
chrI	YAL029C	524	48	92271	87856	35	45	1	1
chrI	YAL028W	484	111	92901	94487	58	Not available 	0	0
chrI	YAL027W	Not available 	Not available 	94688	95473	107	Not available 	1	1
chrI	YAL026C-A	Not available 	Not available 	95824	95387	Not available 	Not available 	1	0
chrI	YAL026C	276	87	99698	95631	127	Not available 	0	0
chrI	YAL025C	269	24	101146	100226	165	276	0	1
chrI	YAL024C	229	61	105873	101566	127	269	0	0
