ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	2	640400	5.78	596800	664800	0.0939981437204541
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	4	1143800	4.8	1053200	1232900	0.0668648926540313
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	5	147200	5.28	102800	207000	0.0704293474459841
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	7	113200	3.57	56900	160600	0.0671621975749113
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	8	169400	4.18	123100	294700	0.073048804842849
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	8	516000	4.44	491100	554900	0.0671491379460966
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	12	686500	11.83	637800	706200	-0.148972947898676
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	13	98300	10.75	81900	149200	-0.121793800626219
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	14	279600	2.92	156800	381100	0.0613381800137939
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	15	181700	4.83	144400	217400	-0.0898962897875852
UGP1_aF_0_1_1	UGP1_a_1_1_1	UGP1_aF_0_1_1 UGP1_a_1_1_1	15	577900	10.61	480200	607400	0.124717433409704
