sysname	name	chr	posup	posdown	strand	control	type	alias	numPro	numTer	numSyn	numMiS	numNoS	Varelse	LocQTLLOD	info
TEL01L		1	1	801	C		telomere									Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats
YAL069W		1	335	649	W	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL068W-A		1	538	792	W	Dubious	ORF		0	0	2	5	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
ARS102		1	707	776			ARS	ARSI-1								Autonomously Replicating Sequence
YAL068C	PAU8	1	1807	2169	C	Verified	ORF	seripauperin PAU8	0	27	4	0	0	0	0	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAL067W-A		1	2480	2707	W	Uncharacterized	ORF		9	0	0	1	0	0	0	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL067C	SEO1	1	7235	9016	C	Verified	ORF	putative permease SEO1	0	0	0	0	0	0	0	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
ARS103		1	7997	8547			ARS	ARSI-8								Autonomously Replicating Sequence; replication origin of very weak function
YAL066W		1	10091	10399	W	Dubious	ORF		0	0	0	0	0	0	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL065C		1	11565	11951	C	Uncharacterized	ORF		0	0	0	0	0	0	0	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins
YAL064W-B		1	12046	12426	W	Uncharacterized	ORF		1	0	1	3	0	0	0	Fungal-specific protein of unknown function
YAL064C-A	TDA8	1	13363	13743	C	Uncharacterized	ORF	YAL065C-A	0	0	0	0	0	0	0	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
YAL064W		1	21566	21850	W	Verified	ORF		0	0	0	0	0	0	0	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
YALWdelta1		1	22230	22552	W		long_terminal_repeat									Ty1 LTR
YAL063C-A		1	22395	22685	C	Uncharacterized	ORF		0	0	0	0	0	0	0	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YAL063C	FLO9	1	24000	27968	C	Verified	ORF	flocculin FLO9	0	0	28	24	0	9	0	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
ARS104		1	30946	31183			ARS	ARSI-31								Autonomously Replicating Sequence
YAL062W	GDH3	1	31567	32940	W	Verified	ORF	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	10	0	12	0	0	0	206.064062072611	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
YAL061W	BDH2	1	33448	34701	W	Uncharacterized	ORF	putative dehydrogenase BDH2	13	0	6	3	0	0	0	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
